"Medición de la pobreza, Estados Unidos Mexicanos, 2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Indicadores de pobreza, por municipio",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clave de entidad,Entidad federativa,Clave de municipio,Municipio,"Población*(leer nota al final del cuadro)",Pobreza,,,,Pobreza extrema,,,,Pobreza moderada,,,,Vulnerables por carencia social,,,Vulnerables por ingreso,,No pobres y no vulnerables,,Rezago educativo,,Carencia por acceso a los servicios de salud,,Carencia por acceso a la seguridad social,,Carencia por calidad y espacios de la vivienda,,Carencia por acceso a los servicios básicos en la vivienda,,Carencia por acceso a la alimentación,,Población con al menos una carencia social,,Población con tres o más carencias sociales,, Población con ingreso inferior a la línea de bienestar,,Población con ingreso inferior a la línea de bienestar mínimo,,Coeficiente de Gini,Razón del ingreso entre la población pobre extrema y la población no pobre y no vulnerable1
,,,,,Porcentaje,Personas,Carencias,Intensidad,Porcentaje,Personas,Carencias,Intensidad,Porcentaje,Personas,Carencias,Intensidad,Porcentaje,Personas,Carencias,Porcentaje,Personas,Porcentaje,Personas,Porcentaje,Personas,Porcentaje,Personas,Porcentaje,Personas,Porcentaje,Personas,Porcentaje,Personas,Porcentaje,Personas,Porcentaje,Personas,Porcentaje,Personas,Porcentaje,Personas,Porcentaje,Personas,,
1,Aguascalientes,1001,Aguascalientes,"794,304",30.5,"242,510",1.9,0.1,2.3,"17,987",3.4,0.01,28.3,"224,523",1.8,0.08,28,"222,273",1.7,8.4,"66,873",33.1,"262,648",15,"118,912",24,"190,907",41.8,"332,018",4.7,"37,501",3.2,"25,530",17.7,"140,318",58.5,"464,782",10.1,"79,897",39,"309,383",10.3,"81,924",0.437,0.13
1,Aguascalientes,1002,Asientos,"48,592",67.1,"32,611",1.9,0.22,8,"3,907",3.5,0.05,59.1,"28,704",1.7,0.17,22.4,"10,904",1.7,5.6,"2,701",4.9,"2,377",21.2,"10,313",15.5,"7,539",78,"37,903",11.1,"5,375",11.6,"5,626",31.7,"15,380",89.6,"43,514",19,"9,222",72.7,"35,311",32.2,"15,648",0.371,0.16
1,Aguascalientes,1003,Calvillo,"53,104",61.4,"32,585",1.9,0.19,7.2,"3,845",3.4,0.04,54.1,"28,740",1.7,0.15,29.4,"15,628",1.7,2.9,"1,551",6.3,"3,340",27.4,"14,530",20.8,"11,052",80.1,"42,511",9.9,"5,247",9.5,"5,068",20.4,"10,831",90.8,"48,213",19,"10,090",64.3,"34,136",26.5,"14,074",0.384,0.13
1,Aguascalientes,1004,Cosío,"14,101",52.8,"7,445",1.8,0.16,4.8,672,3.4,0.03,48,"6,773",1.6,0.13,27.1,"3,825",1.6,7.7,"1,087",12.4,"1,743",20.9,"2,946",14.1,"1,984",65.8,"9,283",11.4,"1,614",5.7,803,19,"2,681",79.9,"11,271",14.1,"1,983",60.5,"8,532",20.9,"2,941",0.381,0.16
1,Aguascalientes,1005,Jesús María,"101,379",45.3,"45,964",2,0.15,6.1,"6,168",3.4,0.03,39.3,"39,796",1.7,0.11,26.3,"26,625",1.7,8.3,"8,394",20.1,"20,396",20.6,"20,862",16.6,"16,796",52.6,"53,343",12.9,"13,115",4.6,"4,619",25.4,"25,744",71.6,"72,589",15.8,"15,995",53.6,"54,358",19.5,"19,738",0.421,0.14
1,Aguascalientes,1006,Pabellón de Arteaga,"43,783",47,"20,560",1.9,0.14,4.1,"1,813",3.3,0.02,42.8,"18,746",1.7,0.12,23.6,"10,341",1.6,9.2,"4,021",20.2,"8,861",18.8,"8,242",18.5,"8,101",54.1,"23,703",7.8,"3,426",5.2,"2,289",21.2,"9,301",70.6,"30,901",14.1,"6,163",56.1,"24,581",19.8,"8,666",0.431,0.13
1,Aguascalientes,1007,Rincón de Romos,"51,284",56.1,"28,789",2.1,0.2,9.2,"4,699",3.6,0.05,47,"24,090",1.8,0.14,19.9,"10,221",1.7,7.5,"3,847",16.4,"8,427",20.2,"10,346",20.3,"10,394",63.5,"32,549",14.1,"7,226",6.8,"3,479",27.5,"14,099",76.1,"39,010",20.4,"10,467",63.6,"32,636",26.1,"13,388",0.432,0.12
1,Aguascalientes,1008,San José de Gracia,"7,826",66.6,"5,214",1.8,0.2,7.3,574,3.4,0.04,59.3,"4,639",1.6,0.16,20.9,"1,633",1.6,3.8,294,8.8,685,16.7,"1,309",12.3,962,79.6,"6,226",8.2,642,12.2,959,23.7,"1,858",87.5,"6,846",15.5,"1,210",70.4,"5,508",34.6,"2,711",0.452,0.1
1,Aguascalientes,1009,Tepezalá,"22,027",58.7,"12,921",1.8,0.18,6,"1,329",3.4,0.03,52.6,"11,592",1.6,0.14,26.4,"5,823",1.6,7.5,"1,660",7.4,"1,623",22.6,"4,982",11.9,"2,617",70.7,"15,567",14.3,"3,148",9.2,"2,019",19.5,"4,299",85.1,"18,744",15.6,"3,444",66.2,"14,581",25.7,"5,669",0.349,0.19
1,Aguascalientes,1010,El Llano,"17,634",60.6,"10,693",2.2,0.22,9.5,"1,683",3.5,0.06,51.1,"9,010",2,0.17,28.6,"5,044",1.9,4,703,6.8,"1,193",27.1,"4,774",19.1,"3,366",75.8,"13,365",11.3,"1,989",13.9,"2,459",39.2,"6,908",89.2,"15,737",27.1,"4,775",64.6,"11,396",25.4,"4,480",0.357,0.18
1,Aguascalientes,1011,San Francisco de los Romo,"37,057",43.3,"16,038",1.9,0.14,4.3,"1,581",3.6,0.03,39,"14,458",1.8,0.11,23.6,"8,753",1.7,11.3,"4,200",21.8,"8,065",20.2,"7,494",20.9,"7,730",48.9,"18,106",7.9,"2,917",2.7,998,23.7,"8,780",66.9,"24,792",13.5,"5,012",54.6,"20,239",18.2,"6,732",0.393,0.17
2,Baja California,2001,Ensenada,"435,574",36.1,"157,285",2.5,0.15,5.7,"24,809",4.1,0.04,30.4,"132,476",2.2,0.11,37.7,"164,200",1.9,5.5,"24,061",20.7,"90,028",20.3,"88,614",27.2,"118,551",57.3,"249,581",13.1,"57,153",22.6,"98,350",20.1,"87,383",73.8,"321,485",22.7,"98,693",41.6,"181,346",12,"52,240",0.452,0.11
2,Baja California,2002,Mexicali,"936,985",30.2,"282,538",2.1,0.1,2.6,"24,767",3.5,0.02,27.5,"257,770",1.9,0.09,36.3,"339,869",1.8,7,"65,259",26.6,"249,320",15.7,"146,704",29.4,"275,203",51.3,"480,330",8.1,"75,470",6.6,"61,939",16.4,"153,866",66.4,"622,407",14.4,"135,228",37.1,"347,796",9,"84,330",0.44,0.12
2,Baja California,2003,Tecate,"104,060",20.3,"21,157",2.1,0.07,1.6,"1,709",3.5,0.01,18.7,"19,448",2,0.06,49,"50,955",1.8,4,"4,185",26.7,"27,763",16.4,"17,026",27.9,"29,034",48.8,"50,770",10.2,"10,623",13.1,"13,640",13.9,"14,495",69.3,"72,112",15,"15,589",24.4,"25,342",4.8,"4,992",0.445,0.11
2,Baja California,2004,Tijuana,"1,603,955",32.8,"525,769",2.1,0.12,3.5,"56,736",3.5,0.02,29.2,"469,033",2,0.1,40.1,"643,641",1.8,6,"96,727",21.1,"337,818",17.2,"275,362",41,"657,444",55.9,"895,956",10.4,"166,737",2.4,"38,435",15.9,"255,725",72.9,"1,169,410",16.5,"265,023",38.8,"622,495",10.2,"162,835",0.438,0.13
2,Baja California,2005,Playas de Rosarito,"92,624",33.2,"30,713",2.2,0.12,3.3,"3,048",3.6,0.02,29.9,"27,665",2,0.1,51.6,"47,814",1.9,2.9,"2,683",12.3,"11,414",17.3,"16,042",37.9,"35,127",69.2,"64,138",14.1,"13,078",13.5,"12,538",16.7,"15,500",84.8,"78,527",20.8,"19,279",36.1,"33,396",8.5,"7,867",0.456,0.11
3,Baja California Sur,3001,Comondú,"76,218",48.1,"36,633",2.1,0.16,6.5,"4,984",3.7,0.04,41.5,"31,648",1.8,0.12,29.8,"22,725",1.8,5.9,"4,461",16.3,"12,399",22.2,"16,931",17.1,"13,054",55.9,"42,616",12.7,"9,674",17.4,"13,279",28.1,"21,419",77.9,"59,358",18.4,"14,047",53.9,"41,094",18.8,"14,339",0.417,0.13
3,Baja California Sur,3002,Mulegé,"51,669",41.9,"21,659",2.1,0.15,5.6,"2,877",3.8,0.04,36.4,"18,782",1.9,0.11,29.6,"15,313",2,8.4,"4,317",20.1,"10,381",23,"11,861",14.5,"7,499",51,"26,354",13.9,"7,187",16.9,"8,728",28.7,"14,844",71.6,"36,971",20.9,"10,794",50.3,"25,975",16.6,"8,579",0.41,0.14
3,Baja California Sur,3003,La Paz,"283,378",24.7,"69,922",2.1,0.09,2.8,"7,900",3.8,0.02,21.9,"62,022",1.9,0.07,30.8,"87,199",1.9,4.6,"13,170",39.9,"113,088",13.1,"37,165",21.5,"60,790",40.4,"114,605",6.9,"19,458",5.3,"14,956",23.7,"67,209",55.4,"157,120",13.3,"37,775",29.3,"83,092",8.3,"23,517",0.44,0.1
3,Baja California Sur,3008,Los Cabos,"215,657",28.5,"61,535",2.5,0.12,5.6,"12,152",3.8,0.04,22.9,"49,383",2.2,0.08,40.3,"86,882",1.9,2.6,"5,604",28.6,"61,637",18.3,"39,488",28.4,"61,187",47.2,"101,850",18.1,"39,136",9,"19,385",27.1,"58,529",68.8,"148,417",21.4,"46,176",31.1,"67,138",9.8,"21,215",0.461,0.11
3,Baja California Sur,3009,Loreto,"17,938",53.8,"9,653",2.3,0.21,10.2,"1,828",4.1,0.07,43.6,"7,826",1.9,0.14,23.9,"4,287",1.8,7.2,"1,296",15.1,"2,703",21.3,"3,822",18.8,"3,372",59.7,"10,711",20.8,"3,734",19.3,"3,470",28,"5,024",77.7,"13,940",22,"3,941",61,"10,949",24.4,"4,378",0.424,0.13
4,Campeche,4001,Calkiní,"53,889",60.5,"32,628",3,0.31,19.3,"10,378",4.1,0.13,41.3,"22,249",2.5,0.17,19.4,"10,478",2.2,3,"1,623",17,"9,160",25.2,"13,581",24.1,"12,989",69.5,"37,435",28.8,"15,516",47.2,"25,418",32.2,"17,333",80,"43,106",41.7,"22,470",63.6,"34,251",29.5,"15,913",0.479,0.11
4,Campeche,4002,Campeche,"263,932",35.2,"93,032",2.4,0.14,5.6,"14,903",3.7,0.04,29.6,"78,129",2.2,0.11,26.1,"68,769",1.9,7.2,"18,874",31.5,"83,257",18.8,"49,656",19.6,"51,729",43.1,"113,860",12.8,"33,915",12.6,"33,177",27,"71,243",61.3,"161,801",21,"55,312",42.4,"111,906",11.1,"29,368",0.448,0.11
4,Campeche,4003,Carmen,"228,449",41.1,"93,849",2.8,0.19,8.4,"19,134",3.9,0.05,32.7,"74,715",2.5,0.14,31.4,"71,731",2.1,3.9,"8,910",23.6,"53,960",22.2,"50,730",16.8,"38,358",53.7,"122,754",21.9,"49,923",35.5,"81,166",31,"70,847",72.5,"165,579",33.3,"76,101",45,"102,759",12.6,"28,711",0.485,0.09
4,Campeche,4004,Champotón,"76,983",63.2,"48,654",2.5,0.27,13.4,"10,322",3.9,0.09,49.8,"38,332",2.2,0.18,24.9,"19,135",2.1,3.8,"2,906",8.2,"6,288",27.2,"20,937",23.6,"18,136",70.3,"54,140",22.3,"17,188",38.3,"29,479",30.6,"23,520",88.1,"67,789",36.4,"27,985",67,"51,560",25.6,"19,683",0.395,0.15
4,Campeche,4005,Hecelchakán,"30,920",56.6,"17,488",2.9,0.27,14.8,"4,583",3.8,0.09,41.7,"12,905",2.5,0.18,29.7,"9,195",2.5,3,938,10.7,"3,299",24.2,"7,467",31.1,"9,613",62.5,"19,316",28.3,"8,766",58.4,"18,066",33.5,"10,343",86.3,"26,683",47.2,"14,605",59.6,"18,426",23.6,"7,285",0.437,0.12
4,Campeche,4006,Hopelchén,"47,030",75.6,"35,570",3.1,0.39,31.2,"14,690",3.8,0.2,44.4,"20,880",2.6,0.19,19.4,"9,123",2.6,1.1,527,3.8,"1,810",31.9,"15,013",26.6,"12,510",84.6,"39,767",24,"11,266",78.1,"36,752",36.5,"17,177",95,"44,693",59.8,"28,125",76.8,"36,097",44,"20,684",0.448,0.11
4,Campeche,4007,Palizada,"9,470",62.7,"5,938",2.9,0.3,17.8,"1,683",4,0.12,44.9,"4,255",2.5,0.18,29.1,"2,755",2.3,2,188,6.2,589,32.3,"3,056",15.6,"1,473",83.4,"7,900",27.5,"2,609",50.9,"4,823",37.6,"3,565",91.8,"8,692",46.7,"4,420",64.7,"6,126",26.4,"2,496",0.441,0.09
4,Campeche,4008,Tenabo,"10,704",64.1,"6,865",2.9,0.31,19.4,"2,073",3.8,0.12,44.8,"4,792",2.5,0.19,28,"3,000",2.2,1.8,194,6,645,27.7,"2,964",15.3,"1,635",68.3,"7,307",31.3,"3,347",75.7,"8,108",30.9,"3,303",92.2,"9,865",49.3,"5,282",65.9,"7,059",27.9,"2,986",0.432,0.13
4,Campeche,4009,Escárcega,"46,710",73,"34,104",3,0.37,28.4,"13,243",4,0.19,44.7,"20,861",2.4,0.18,17.5,"8,177",2.2,2.4,"1,138",7,"3,291",32.3,"15,091",20.8,"9,706",81,"37,852",37.4,"17,470",51.6,"24,101",37.2,"17,384",90.5,"42,281",51.1,"23,889",75.4,"35,242",40.6,"18,975",0.461,0.11
4,Campeche,4010,Calakmul,"23,814",85.8,"20,440",3.3,0.47,46.1,"10,980",3.9,0.3,39.7,"9,460",2.5,0.17,13.2,"3,141",2.6,0.2,54,0.7,179,33.5,"7,978",37.1,"8,824",91.5,"21,783",39.8,"9,486",81.3,"19,366",32.7,"7,776",99,"23,581",68.4,"16,281",86.1,"20,494",61.1,"14,540",0.462,0.08
4,Campeche,4011,Candelaria,"33,815",79.1,"26,746",3,0.39,31.2,"10,544",3.9,0.2,47.9,"16,202",2.3,0.19,16.1,"5,443",2.5,1,354,3.8,"1,272",33,"11,154",19.6,"6,628",89.6,"30,289",36,"12,163",54.1,"18,308",41.5,"14,040",95.2,"32,189",54.2,"18,323",80.1,"27,100",48.1,"16,274",0.45,0.09
5,Coahuila,5001,Abasolo,"1,382",28.8,398,2,0.1,4,55,3.3,0.02,24.8,343,1.8,0.07,51,705,1.6,3.4,48,16.7,231,15.7,217,36.6,506,67.7,935,1.8,25,5.5,75,13.1,180,79.8,"1,103",12.3,170,32.3,446,9.7,135,0.369,0.14
5,Coahuila,5002,Acuña,"140,380",29.8,"41,811",2,0.1,3.4,"4,829",3.4,0.02,26.3,"36,982",1.8,0.08,25,"35,060",1.7,14.8,"20,730",30.5,"42,779",14.1,"19,789",22.3,"31,267",28,"39,367",6.9,"9,742",4,"5,569",25.3,"35,518",54.8,"76,871",11.4,"16,072",44.6,"62,542",12.3,"17,334",0.4,0.14
5,Coahuila,5003,Allende,"25,124",20.2,"5,075",1.7,0.06,0.9,216,3.2,0,19.3,"4,859",1.7,0.05,40.1,"10,075",1.5,7.3,"1,835",32.4,"8,140",14.3,"3,592",12.6,"3,167",39,"9,804",3.1,773,7.8,"1,950",18.5,"4,650",60.3,"15,150",7.5,"1,883",27.5,"6,910",4.7,"1,186",0.413,0.12
5,Coahuila,5004,Arteaga,"21,963",50.3,"11,051",2,0.17,5.3,"1,163",3.4,0.03,45,"9,888",1.9,0.14,27.4,"6,024",1.8,13.4,"2,940",8.9,"1,948",21.2,"4,647",27.3,"6,004",60.6,"13,305",5.7,"1,251",8.2,"1,806",29.3,"6,434",77.7,"17,075",18.7,"4,104",63.7,"13,991",24.7,"5,431",0.379,0.14
5,Coahuila,5005,Candela,"1,769",38.2,675,2.1,0.14,4.5,80,3.6,0.03,33.6,595,1.9,0.11,43.5,770,1.6,5.7,101,12.6,223,25.8,456,19.2,340,61.1,"1,081",4.7,84,19.4,343,22.6,400,81.7,"1,445",19.7,349,43.9,776,13.6,240,0.37,0.16
5,Coahuila,5006,Castaños,"25,359",31.7,"8,034",2,0.11,3.7,939,3.4,0.02,28,"7,095",1.8,0.09,22.3,"5,648",1.8,17.8,"4,508",28.3,"7,170",9.8,"2,485",16.8,"4,258",29.7,"7,540",3.8,964,16.6,"4,204",26.1,"6,607",54,"13,681",13.6,"3,447",49.5,"12,541",13.7,"3,462",0.378,0.15
5,Coahuila,5007,Cuatro Ciénegas,"11,642",43.7,"5,090",2.2,0.16,6.5,761,3.9,0.04,37.2,"4,329",1.9,0.12,20.2,"2,347",1.9,16.3,"1,902",19.8,"2,302",15.5,"1,803",14.3,"1,669",50.3,"5,856",8.5,995,19.7,"2,292",25.5,"2,964",63.9,"7,438",18.6,"2,160",60.1,"6,993",23.7,"2,761",0.434,0.11
5,Coahuila,5008,Escobedo,"3,356",44,"1,475",2.2,0.16,5.8,193,3.5,0.03,38.2,"1,282",2.1,0.13,43.8,"1,471",2,3.3,112,8.9,298,18.9,633,28.6,958,64.8,"2,175",3.7,125,34.4,"1,155",35.2,"1,182",87.8,"2,946",28.6,961,47.3,"1,587",16.2,542,0.365,0.17
5,Coahuila,5009,Francisco I. Madero,"59,413",38.4,"22,817",2,0.13,5.1,"3,020",3.4,0.03,33.3,"19,797",1.8,0.1,28.7,"17,034",1.6,11.7,"6,963",21.2,"12,599",17.1,"10,167",17.9,"10,625",45.8,"27,217",5.9,"3,506",13,"7,698",22.9,"13,597",67.1,"39,851",14.7,"8,707",50.1,"29,781",17,"10,108",0.398,0.15
5,Coahuila,5010,Frontera,"67,332",24.9,"16,744",1.9,0.08,2.5,"1,687",3.5,0.01,22.4,"15,057",1.7,0.06,24.9,"16,775",1.4,14.6,"9,816",35.6,"23,998",10.5,"7,065",10.4,"6,986",28,"18,828",4.5,"3,062",8.2,"5,510",19.8,"13,353",49.8,"33,518",7.3,"4,882",39.4,"26,559",9.4,"6,345",0.37,0.15
5,Coahuila,5011,General Cepeda,"13,890",58.7,"8,154",2.2,0.21,11.7,"1,620",3.5,0.07,47,"6,535",1.9,0.15,25.5,"3,538",1.8,8.1,"1,124",7.7,"1,074",23.1,"3,202",31.9,"4,427",66,"9,172",4.8,671,21.6,"3,007",27.6,"3,840",84.2,"11,693",25.6,"3,551",66.8,"9,278",33.7,"4,677",0.523,0.09
5,Coahuila,5012,Guerrero,"2,156",29.8,642,2.3,0.11,4.4,94,3.6,0.03,25.4,548,2.1,0.09,50.6,"1,091",1.8,4.8,104,14.8,318,24.9,538,27.5,593,57.4,"1,238",7.3,157,21.4,460,19.4,419,80.4,"1,733",23.4,505,34.6,747,9.6,207,0.393,0.15
