Población total (con información hasta localidad),,,,,,,,,,,,,,,,,,,,,,,,
Sexo : Hombres,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Consulta de: Población total con estimación   Por: Entidad municipio y loc   Según: Edad quinquenal,,,,,,,,,,,,,,,,,,,,,,,,
,,Total,De 0 a 4 años,De 5 a 9 años,De 10 a 14 años,De 15 a 19 años,De 20 a 24 años,De 25 a 29 años,De 30 a 34 años,De 35 a 39 años,De 40 a 44 años,De 45 a 49 años,De 50 a 54 años,De 55 a 59 años,De 60 a 64 años,De 65 a 69 años,De 70 a 74 años,De 75 a 79 años,De 80 a 84 años,De 85 a 89 años,De 90 a 94 años,De 95 a 99 años,De 100 y más años,No especificado
 ,Total,"81,249,645","10,195,178","10,562,234","10,389,092","9,664,403","7,829,163","6,404,512","5,387,619","4,579,116","3,497,770","2,971,860","2,393,791","1,894,484","1,611,317","1,183,651","827,027","590,836","401,832","225,450","91,189","37,689","19,167","492,265"
#NAME?,Aguascalientes,"719,659","98,013","98,158","94,971","87,750","69,577","55,660","46,833","38,127","29,392","23,788","18,093","14,905","13,035","10,091","6,731","5,378","3,661","2,221",715,237,78,"2,245"
 01 001 ,Aguascalientes,"506,274","65,617","66,257","63,270","61,488","50,571","41,561","35,261","28,527","21,782","17,272","12,827","10,484","9,233","7,071","4,676","3,723","2,490","1,472",476,144,56,"2,016"
 01 002 ,Asientos,"32,225","5,031","4,800","4,740","4,029","2,961","2,162","1,627","1,283","1,091",940,816,698,592,490,328,243,184,149,33,21,4,3
 01 003 ,Calvillo,"48,440","7,084","6,957","7,159","5,974","4,166","3,144","2,726","2,299","1,862","1,521","1,254","1,040",952,706,564,444,304,167,55,20,5,37
 01 004 ,Cosío,"10,247","1,507","1,484","1,533","1,255",905,684,578,473,343,327,265,227,190,161,107,71,76,39,11,5,2,4
 01 005 ,Jesús María,"41,092","6,402","6,492","6,216","5,137","3,787","2,606","2,095","1,871","1,459","1,246",872,740,590,498,343,263,168,108,42,10,6,141
 01 006 ,Pabellón de Arteaga,"26,051","3,936","3,783","3,726","3,095","2,373","1,843","1,552","1,274",919,741,652,566,457,399,225,223,138,88,29,16,,16
 01 007 ,Rincón de Romos,"33,781","5,074","5,190","5,108","4,041","2,972","2,243","1,897","1,555","1,192","1,045",836,659,590,458,312,241,175,123,39,10,3,18
 01 008 ,San José de Gracia,"6,740","1,090","1,023",981,818,567,451,330,239,215,220,204,172,136,87,60,59,49,24,9,4,,2
 01 009 ,Tepezalá,"14,809","2,272","2,172","2,238","1,913","1,275",966,767,606,529,476,367,319,295,221,116,111,77,51,21,7,2,8
#NAME?,Baja California,"1,660,855","202,831","185,303","180,428","202,116","184,182","151,366","122,683","97,317","71,766","58,601","47,458","37,179","30,769","22,752","14,420","9,438","5,456","2,939","1,027",412,189,"32,223"
 02 001 ,Ensenada,"259,979","32,231","30,280","28,969","30,383","26,875","22,727","19,276","15,818","11,579","9,487","7,576","5,915","5,070","3,730","2,379","1,568",864,484,159,74,40,"4,495"
 02 002 ,Mexicali,"601,938","70,266","65,976","66,737","73,402","62,740","52,739","44,566","35,923","26,649","21,996","18,297","14,636","12,159","9,158","5,770","3,874","2,216","1,198",386,156,70,"13,024"
 02 003 ,Tecate,"51,557","6,669","6,107","6,033","6,516","5,507","4,559","3,417","3,010","2,195","1,774","1,430","1,172",900,707,472,326,171,90,39,14,10,439
 02 004 ,Tijuana,"747,381","93,665","82,940","78,689","91,815","89,060","71,341","55,424","42,566","31,343","25,344","20,155","15,456","12,640","9,157","5,799","3,670","2,205","1,167",443,168,69,"14,265"
#NAME?,Baja California Sur,"317,764","38,275","38,661","38,849","37,202","32,187","28,300","24,249","19,309","14,151","11,427","8,654","6,897","5,301","3,954","2,709","1,896","1,129",698,250,97,65,"3,504"
 03 001 ,Comondú,"74,346","9,402","9,782","9,917","9,008","6,979","6,148","5,348","4,202","3,134","2,566","2,085","1,556","1,144",839,562,366,268,133,45,24,15,823
 03 002 ,Mulegé,"38,528","4,902","4,774","4,496","4,089","3,781","3,448","2,835","2,233","1,680","1,556","1,179","1,052",858,610,369,293,173,114,34,9,10,33
 03 003 ,La Paz,"160,970","18,532","19,055","19,610","19,358","16,597","14,546","12,887","10,251","7,469","5,766","4,314","3,462","2,673","1,988","1,414",957,530,351,138,48,36,988
 03 008 ,Los Cabos,"43,920","5,439","5,050","4,826","4,747","4,830","4,158","3,179","2,623","1,868","1,539","1,076",827,626,517,364,280,158,100,33,16,4,"1,660"
#NAME?,Campeche,"535,185","71,130","72,228","68,224","60,846","49,953","41,646","34,489","31,017","22,303","18,748","14,480","11,782","10,404","7,175","5,448","3,362","2,260","1,193",529,236,129,"7,603"
 04 001 ,Calkiní,"38,883","4,911","5,485","5,257","4,260","3,024","2,415","2,297","2,280","1,597","1,418","1,211","1,025",928,681,581,345,244,104,51,18,12,739
 04 002 ,Campeche,"173,645","20,052","20,332","20,022","20,460","17,408","14,467","12,290","10,904","8,017","6,420","4,999","4,188","3,740","2,849","2,048","1,288",838,550,209,70,35,"2,459"
 04 003 ,Carmen,"136,034","18,430","18,474","16,824","15,134","13,193","11,635","9,479","8,133","5,591","4,475","3,596","2,724","2,310","1,452","1,093",687,431,218,98,59,21,"1,977"
 04 004 ,Champotón,"71,836","10,655","10,567","9,937","8,258","6,447","5,143","4,145","3,758","2,815","2,460","1,781","1,555","1,345",809,567,391,250,125,63,38,26,701
 04 005 ,Hecelchakán,"20,290","2,754","2,976","2,746","2,281","1,738","1,404","1,135","1,063",768,739,540,436,460,308,261,142,122,48,22,12,5,330
 04 006 ,Hopelchén,"36,271","5,656","5,607","5,175","3,802","2,894","2,289","1,818","1,795","1,323","1,244",910,736,655,429,387,195,151,63,31,17,5,"1,089"
 04 007 ,Palizada,"7,162",882,946,948,816,632,521,349,411,309,301,244,175,141,126,80,69,49,16,10,6,5,126
 04 008 ,Tenabo,"6,568",813,962,857,748,562,462,340,375,291,253,164,151,175,104,103,46,33,16,7,4,2,100
