"UNIDADES DE PRODUCCIÓN URBANAS, Y RURALES CON SUPERFICIE AGRÍCOLA, SEGÚN DESTINO",,,,,,,,CUADRO 10,,,
"DE LA PRODUCCIÓN AGRÍCOLA, POR ENTIDAD Y MUNICIPIO",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
ENTIDAD Y MUNICIPIO,,,,UNIDADES DE PRODUCCIÓN,DESTINO DE LA PRODUCCIÓN,,,NO REPORTARON PRODUCCIÓN,,,
,,,,,SÓLO AUTOCONSUMO,VENTA,,,,,
,,,,,,SÓLO LOCAL O NACIONAL,"LOCAL, NACIONAL Y EXPORTACIÓN ",,,,
,,,,,,,"LOCAL, NACIONAL Y EXPORTACIÓN ",,,,
,,,,,,,,,,,
,,,,,,,,,,,
ESTADOS UNIDOS MEXICANOS,,,,3 827 587,1 757 611,1 663 308, 11 744, 394 924,,,
AGUASCALIENTES,,,, 19 343, 6 340, 8 038,  80, 4 885,,,
,AGUASCALIENTES,,, 6 717, 2 042, 2 218,  10, 2 447,,,
,ASIENTOS,,, 2 801,  930, 1 037,  6,  828,,,
,CALVILLO,,, 2 717,  614, 1 752,*,  349,,,
,COSIO,,, 1 072,  371,  598,  19,  84,,,
,JESUS MARIA,,, 1 549,  659,  484,*,  404,,,
,PABELLON DE ARTEAGA,,,  758,  372,  326,  4,  56,,,
,RINCON DE ROMOS,,, 1 793,  691,  852,  25,  225,,,
,SAN JOSE DE GRACIA,,,  832,  337,  226,-,  269,,,
,TEPEZALA,,, 1 104,  324,  545,  12,  223,,,
BAJA CALIFORNIA,,,, 11 211, 1 606, 6 883,  356, 2 366,,,
,ENSENADA,,, 2 891,  598, 1 328,  195,  770,,,
,MEXICALI,,, 7 158,  638, 5 250,  145, 1 125,,,
,TECATE,,,  355,  148,  79,  3,  125,,,
,TIJUANA,,,  807,  222,  226,  13,  346,,,
BAJA CALIFORNIA SUR,,,, 3 652,  640, 2 237,  338,  437,,,
,COMONDU,,, 1 142,  173,  839,  42,  88,,,
,MULEGE,,,  686,  130,  348,  152,  56,,,
