"NÚMERO Y EXISTENCIAS EN VIVIENDAS Y UNIDADES DE PRODUCCIÓN CON GANADO BOVINO,",,,,,,,,,CUADRO 11A,,
"SEGÚN EDAD Y SEXO, POR ENTIDAD Y MUNICIPIO",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
ENTIDAD Y MUNICIPIO,,,,,,EDAD,,,,,
,,,,TOTAL,,MENORES DE 1 AÑO,,DE 1 A 3 AÑOS,,,
,,,,,,MACHOS Y HEMBRAS,,MACHOS Y HEMBRAS,,,
,,,,NÚMERO,EXISTENCIAS (CABEZAS),NÚMERO,EXISTENCIAS (CABEZAS),NÚMERO,EXISTENCIAS (CABEZAS),,
,,,,,,,,,,,
,,,,,,,,,,,
ESTADOS UNIDOS MEXICANOS,,,,1 453 245,24 611 862, 768 368,5 362 219, 686 717,5 732 466,,
AGUASCALIENTES,,,, 12 451, 188 725, 6 508, 36 319, 5 391, 49 642,,
,AGUASCALIENTES,,, 4 501, 77 099, 2 466, 13 634, 2 103, 20 982,,
,ASIENTOS,,, 1 377, 10 394,  723, 2 557,  618, 2 933,,
,CALVILLO,,, 1 455, 18 819,  780, 4 281,  639, 4 889,,
,COSIO,,,  540, 4 683,  277, 1 086,  192,  655,,
,JESUS MARIA,,, 1 603, 28 758,  778, 6 071,  663, 7 595,,
,PABELLON DE ARTEAGA,,,  613, 14 804,  285, 2 536,  188, 4 162,,
,RINCON DE ROMOS,,, 1 079, 15 617,  546, 2 546,  428, 4 040,,
,SAN JOSE DE GRACIA,,,  635, 11 978,  354, 2 494,  300, 2 860,,
,TEPEZALA,,,  648, 6 573,  299, 1 114,  260, 1 526,,
BAJA CALIFORNIA,,,, 3 859, 181 272, 2 002, 28 542, 1 979, 75 993,,
,ENSENADA,,, 1 474, 58 492,  817, 10 709,  824, 16 721,,
,MEXICALI,,, 1 663, 69 153,  769, 8 706,  721, 42 586,,
,TECATE,,,  313, 13 059,  165, 2 653,  164, 3 898,,
,TIJUANA,,,  409, 40 568,  251, 6 474,  270, 12 788,,
BAJA CALIFORNIA SUR,,,, 4 100, 173 392, 2 567, 39 804, 2 430, 36 755,,
