"UNIDADES DE PRODUCCIÓN CON CULTIVO PRINCIPAL PERENNE, SEGÚN SUPERFICIE, GRADO DE DESARROLLO DE LA PLANTACIÓN ",,,,,,,CUADRO  9,,,,,,
"Y PRODUCCIÓN OBTENIDA, POR CULTIVO PRINCIPAL, ENTIDAD Y MUNICIPIO",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"CULTIVO PRINCIPAL, ENTIDAD Y MUNICIPIO",,,UNIDADADES  DE PRODUCCIÓN,SUPERFICIE,,,PRDODUCCIÓN OBTENIDA (TON),,,,,,
,,,,TOTAL   (HA),PLANTACIONES,,,,,,,,
,,,,,EN DESARROLLO  (HA),EN PRODUCCIÓN (HA),,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
ALFALFA,,,,,,,,,,,,,
ESTADOS UNIDOS MEXICANOS,,, 60 514, 231 175.05, 11 502.35, 219 672.69,8 667 496.88,,,,,,
AGUASCALIENTES,,, 1 541, 5 878.53,  372.95, 5 505.57, 215 478.42,,,,,,
,AGUASCALIENTES,,  347, 2 042.44,  110.78, 1 931.66, 82 667.79,,,,,,
,ASIENTOS,,  117,  310.20,  107.00,  203.20, 5 983.80,,,,,,
,CALVILLO,,  5,  5.57,-,  5.57,  59.47,,,,,,
,COSIO,,  178,  444.03,  12.00,  432.03, 13 392.91,,,,,,
,JESUS MARIA,,  352, 1 172.19,  89.94, 1 082.25, 29 132.54,,,,,,
,PABELLON DE ARTEAGA,,  130,  750.83,  22.52,  728.31, 33 538.12,,,,,,
,RINCON DE ROMOS,,  184,  718.25,  24.37,  693.88, 28 971.84,,,,,,
,SAN JOSE DE GRACIA,,  3,  0.26,  0.01,  0.25,-,,,,,,
,TEPEZALA,,  225,  434.76,  6.33,  428.43, 21 731.94,,,,,,
BAJA CALIFORNIA,,, 1 235, 16 825.20,  308.18, 16 517.03, 551 643.22,,,,,,
,ENSENADA,,  203, 2 769.19,  34.44, 2 734.76, 104 389.34,,,,,,
,MEXICALI,, 1 017, 13 940.10,  266.74, 13 673.36, 444 240.51,,,,,,
,TECATE,,  13,  79.66,  7.00,  72.66, 2 663.52,,,,,,
