"UNIDADES DE PRODUCCIÓN RURALES CON CULTIVO PRINCIPAL ANUAL, SEGÚN CICLO DE CULTIVO, ",,,,,,CUADRO 8B,,,,,
"SUPERFICIE SEMBRADA, COSECHADA Y PRODUCCIÓN OBTENIDA, POR CULTIVO PRINCIPAL, ",,,,,,,,,,,
ENTIDAD Y MUNICIPIO,,,,,,,,,,,
,,,,,,,,,,,
"CULTIVO PRINCIPAL, ENTIDAD Y MUNICIPIO",,,CICLO,,,,,,,,
,,, OTOÑO-INVIERNO,,,,,,,,
,,, UNIDADES DE PRODUCCIÓN, SUPERFICIE  SEMBRADA (HA), SUPERFICIE  COSECHADA  (HA),PRODUCCIÓN OBTENIDA  (TON),,,,,
,,,,,,,,,,,
,,,,,,,,,,,
AJONJOLI,,,,,,,,,,,
ESTADOS UNIDOS MEXICANOS,,, 2 779, 12 026.43, 8 599.70, 4 575.23,,,,,
BAJA CALIFORNIA,,,  4,  50.00,  31.00,  35.43,,,,,
,MEXICALI,,  4,  50.00,  31.00,  35.43,,,,,
CAMPECHE,,,*,  5.50,  0.75,  0.86,,,,,
,CAMPECHE,,-,-,-,-,,,,,
,CARMEN,,*,  0.50,  0.50,  0.10,,,,,
,CHAMPOTON,,*,  5.00,  0.25,  0.76,,,,,
,HOPELCHEN,,-,-,-,-,,,,,
,ESCARCEGA,,-,-,-,-,,,,,
COAHUILA,,,-,-,-,-,,,,,
,MATAMOROS,,-,-,-,-,,,,,
,MUZQUIZ,,-,-,-,-,,,,,
,SALTILLO,,-,-,-,-,,,,,
,SAN BUENAVENTURA,,-,-,-,-,,,,,
,SAN PEDRO,,-,-,-,-,,,,,
COLIMA,,,*,  4.00,  4.00,  2.93,,,,,
,ARMERIA,,*,  4.00,  4.00,  2.93,,,,,
,IXTLAHUACAN,,-,-,-,-,,,,,
,MANZANILLO,,-,-,-,-,,,,,
CHIAPAS,,,  393, 1 587.22, 1 465.87,  848.66,,,,,
,ACACOYAGUA,,  6,  10.50,  7.50,  6.80,,,,,
,ACAPETAHUA,,  8,  13.00,  10.50,  9.25,,,,,
,ALTAMIRANO,,-,-,-,-,,,,,
,AMATAN,,-,-,-,-,,,,,
,ARRIAGA,,-,-,-,-,,,,,
,"CONCORDIA, LA",,*,  0.25,  0.25,  0.20,,,,,
,CHIAPA DE CORZO,,-,-,-,-,,,,,
,FRONTERA HIDALGO,,  32,  100.00,  98.00,  52.96,,,,,
,HUEHUETAN,,  4,  7.75,  5.88,  3.68,,,,,
,HUIXTLA,,  13,  31.00,  18.19,  11.19,,,,,
,JUAREZ,,*,  0.50,-,-,,,,,
,MAPASTEPEC,,*,  2.00,  2.00,  1.00,,,,,
,"MARGARITAS, LAS",,*,  1.00,  0.75,  0.26,,,,,
,MAZATAN,,  130,  544.10,  526.37,  273.07,,,,,
,METAPA,,  10,  74.00,  71.00,  36.58,,,,,
,OCOSINGO,,*,  5.00,  1.50,  1.00,,,,,
,OCOZOCOAUTLA DE ESPINOSA,,-,-,-,-,,,,,
,OSTUACAN,,-,-,-,-,,,,,
,PALENQUE,,  5,  8.50,  5.25,  1.65,,,,,
,PIJIJIAPAN,,-,-,-,-,,,,,
,VILLA COMALTITLAN,,  4,  8.13,  7.13,  4.69,,,,,
,SALTO DE AGUA,,*,  1.50,  1.50,  1.80,,,,,
,SOLOSUCHIAPA,,-,-,-,-,,,,,
,SUCHIAPA,,-,-,-,-,,,,,
,SUCHIATE,,  81,  245.75,  225.19,  126.31,,,,,
,TAPACHULA,,  85,  498.25,  461.88,  305.74,,,,,
,TECPATAN,,*,  5.00,  2.00,  0.23,,,,,
,TONALA,,*,  1.00,  1.00,  0.67,,,,,
,TUMBALA,,-,-,-,-,,,,,
,TUXTLA CHICO,,  4,  15.00,  15.00,  11.10,,,,,
,TUZANTAN,,*,  15.00,  5.00,  0.50,,,,,
CHIHUAHUA,,,-,-,-,-,,,,,
,BATOPILAS,,-,-,-,-,,,,,
,BOCOYNA,,-,-,-,-,,,,,
,GUERRERO,,-,-,-,-,,,,,
GUANAJUATO,,,-,-,-,-,,,,,
,SALVATIERRA,,-,-,-,-,,,,,
,URIANGATO,,-,-,-,-,,,,,
GUERRERO,,,  143,  352.53,  263.86,  158.03,,,,,
,ACAPULCO DE JUAREZ,,  12,  16.25,  10.25,  4.10,,,,,
,AHUACUOTZINGO,,-,-,-,-,,,,,
,AJUCHITLAN DEL PROGRESO,,  4,  5.75,  5.75,  4.70,,,,,
,APAXTLA,,-,-,-,-,,,,,
,ARCELIA,,*,  3.50,  3.50,  2.50,,,,,
,ATENANGO DEL RIO,,-,-,-,-,,,,,
,ATOYAC DE ALVAREZ,,  7,  15.00,  7.50,  5.16,,,,,
,AYUTLA DE LOS LIBRES,,-,-,-,-,,,,,
,AZOYU,,  15,  28.25,  22.58,  15.32,,,,,
,BENITO JUAREZ,,*,  8.00,  8.00,  1.28,,,,,
,COAHUAYUTLA DE JOSE MARIA IZAZAGA,,-,-,-,-,,,,,
,COCULA,,-,-,-,-,,,,,
,COPALA,,  14,  61.00,  34.50,  29.19,,,,,
,COPALILLO,,-,-,-,-,,,,,
