"SUPERFICIE DE UNIDADES DE PRODUCCIîN RURALES, SEGòN RƒGIMEN",,,,,,,CUADRO 5
"DE TENENCIA DE LA TIERRA, POR ENTIDAD Y MUNICIPIO",,,,,,,
,,,,,,,
ENTIDAD Y  MUNICIPIO,, SUPERFICIE TOTAL  (HA) ,  TENENCIA DE LA TIERRA,,,,
,,,EJIDAL  (HA), COMUNAL  (HA),PRIVADA  (HA) ,  COLONIA (HA) , PUBLICA  (HA)
,,,,,,,
,,,,,,,
ESTADOS UNIDOS MEXICANOS,,108 346 084.55,30 032 643.64,4 338 099.34,70 493 493.26,2 166 650.62,1 315 197.69
AGUASCALIENTES,, 354 454.85, 97 225.57,254.05, 255 004.23,-, 1 971.01
,AGUASCALIENTES, 119 144.25, 38 418.90,-, 80 216.24,-,509.11
,ASIENTOS, 28 381.78, 21 879.96,-, 6 485.83,-,16
,CALVILLO, 78 483.48, 3 619.20,-, 74 230.28,-,634
,COSIO, 8 958.71, 7 100.72,-, 1 853.83,-,4.17
,JESUS MARIA, 33 795.05, 3 777.05,-, 29 961.50,-,56.5
,PABELLON DE ARTEAGA, 11 267.43, 3 284.56,-, 7 892.37,-,90.5
,RINCON DE ROMOS, 18 479.98, 9 163.70,-, 9 160.28,-,156
,SAN JOSE DE GRACIA, 45 667.36, 3 670.38,254.05, 41 553.21,-,189.73
,TEPEZALA, 10 276.80, 6 311.11,-, 3 650.69,-,315
BAJA CALIFORNIA,,1 848 243.22,1 184 029.61, 5 469.51, 545 012.34, 107 735.10, 5 996.66
,ENSENADA, 545 299.05, 174 699.29,336, 337 705.34, 28 585.29, 3 973.13
,MEXICALI, 837 630.22, 740 302.70,126.01, 22 194.47, 73 495.44, 1 511.60
,TECATE, 361 632.79, 257 379.59,6, 99 527.62, 4 292.20,427.38
,TIJUANA, 103 681.16, 11 648.03, 5 001.50, 85 584.91, 1 362.17,84.55
BAJA CALIFORNIA SUR,,2 713 485.39, 926 162.27,-,1 186 687.82, 168 280.50, 432 354.80
,COMONDU, 652 373.30, 143 822.69,-, 242 331.00, 166 798.90, 99 420.71
,MULEGE,1 173 649.50, 751 828.20,-, 164 753.01,-, 257 068.28
,"PAZ, LA", 674 548.59, 21 638.13,-, 579 867.75, 1 451.59, 71 591.12
,"CABOS, LOS", 212 914.00, 8 873.24,-, 199 736.07,30, 4 274.69
CAMPECHE,,1 931 956.50, 821 124.71, 4 811.15,1 000 173.78, 26 072.44, 79 774.42
,CALKINI, 27 643.78, 14 118.45,-, 13 501.84,-,23.5
,CAMPECHE, 160 502.89, 29 549.66,0.29, 123 267.81,533.62, 7 151.52
,CARMEN, 664 123.06, 264 786.51,88.25, 363 825.22, 1 251.00, 34 172.08
,CHAMPOTON, 362 287.65, 216 060.50, 1 147.76, 113 030.76, 19 832.68, 12 215.96
,HECELCHAKAN, 33 896.38, 15 685.46,-, 18 108.92,-,102
,HOPELCHEN, 262 532.03, 122 575.88, 2 628.32, 111 778.90,20, 25 528.93
,PALIZADA, 118 639.94, 6 809.88,-, 107 394.92, 4 435.13,-
,TENABO, 45 292.57, 6 560.67,-, 38 523.03,-,208.87
,ESCARCEGA, 257 038.19, 144 977.70,946.53, 110 742.38,-,371.57
COAHUILA,,9 354 618.95, 963 622.52, 34 040.26,8 178 779.99, 110 048.18, 68 128.00
,ABASOLO, 61 316.76, 2 913.69,-, 58 323.08,-,80
,ACU„A,1 205 662.57, 305 344.99,-, 887 333.85, 7 312.73, 5 671.00
,ALLENDE, 15 823.67, 1 812.50,-, 13 898.30,-,112.87
,ARTEAGA, 105 840.94, 13 745.43,6, 92 089.51,-,-
,CANDELA, 163 456.41,374.9,353.04, 162 728.47,-,-
,CASTA„OS, 181 940.18, 6 625.14,1, 173 384.44, 1 929.60,-
,CUATROCIENEGAS, 457 694.71, 5 011.95,-, 452 682.76,-,-
,ESCOBEDO, 80 114.51, 2 424.28,-, 77 592.06,-,98.18
,FRANCISCO I. MADERO, 211 075.34, 102 876.74,5.31, 106 907.09,971.97,314.23
,FRONTERA, 29 553.90, 4 701.32,-, 24 799.58,21,32
,GENERAL CEPEDA, 89 788.38, 11 026.55,10.5, 78 706.31,-,45.02
,GUERRERO, 225 567.99,840.8,250, 223 864.19,563,50
,HIDALGO, 152 461.33, 1 270.42,-, 151 030.91,-,160
,JIMENEZ, 164 708.45, 7 827.04,-, 146 258.02, 10 574.95,48.45
,JUAREZ, 190 271.28,616.33,-, 183 810.43, 1 425.72, 4 418.81
,LAMADRID, 35 571.70,426.77,-, 35 144.93,-,-
,MATAMOROS, 45 593.42, 25 019.77,16.9, 20 154.75,4.5,397.5
,MONCLOVA, 138 081.32, 6 277.90,-, 131 725.83,-,77.58
,MORELOS, 17 277.57, 1 228.80,-, 16 045.77,-,3
,MUZQUIZ, 734 260.13, 8 143.15,1.75, 700 217.64, 24 320.60, 1 577.00
,NADADORES, 15 041.89, 3 075.40,-, 11 946.47,1.03,19
,NAVA, 92 048.40, 3 953.20,-, 72 349.84, 12 897.86, 2 847.50
,OCAMPO,1 391 157.49, 3 421.35, 33 000.00,1 340 590.14,-, 14 146.00
,PARRAS, 259 527.63, 10 619.39,46.83, 241 697.80, 2 037.60, 5 126.00
,PIEDRAS NEGRAS, 56 461.38, 2 122.87,-, 54 048.23,-,290.29
,PROGRESO, 207 423.56, 2 164.30,-, 205 179.25,-,80
,RAMOS ARIZPE, 256 281.65, 6 880.01,-, 249 197.47,46.37,157.8
,SABINAS, 169 214.75, 5 412.18,-, 118 697.43, 44 575.00,530.14
,SACRAMENTO, 15 464.04,829.53,-, 14 614.43,-,20.07
,SALTILLO, 201 974.34, 24 026.07,104, 166 173.56, 1 442.26, 10 228.46
,SAN BUENAVENTURA, 596 282.43, 25 586.76,211.42, 570 328.17,19.37,136.71
,SAN JUAN DE SABINAS, 50 074.19, 2 795.67,-, 46 306.94,-,971.59
,SAN PEDRO, 208 556.20, 145 524.55,33.01, 60 539.17, 1 874.64,584.82
,SIERRA MOJADA, 540 051.25, 1 392.40,-, 527 509.75,-, 11 149.10
,TORREON, 35 280.70, 20 314.16,-, 14 584.88,-,381.66
,VIESCA, 59 939.97, 20 692.42,0.5, 39 147.01,-,100.04
,VILLA UNION, 172 051.49, 3 089.16,-, 164 134.33,-, 4 828.00
,ZARAGOZA, 721 727.07, 173 214.65,-, 545 037.22,30, 3 445.20
COLIMA,, 397 890.93, 187 475.16,731.47, 191 133.93,8, 18 542.37
,ARMERIA, 18 219.49, 12 964.44,-, 4 872.47,-,382.58
,COLIMA, 56 555.32, 19 681.79,-, 36 774.69,8,90.84
,COMALA, 22 421.00, 8 240.15,360.23, 13 758.85,-,61.78
,COQUIMATLAN, 25 484.48, 12 873.18,29.08, 12 525.22,-,57
,CUAUHTEMOC, 33 326.13, 19 840.80,-, 13 367.36,-,117.97
,IXTLAHUACAN, 30 592.51, 10 658.21,116, 19 667.80,-,150.5
,MANZANILLO, 83 474.73, 64 956.68,78.16, 18 322.14,-,117.75
,MINATITLAN, 33 261.30, 15 160.88,133, 17 967.42,-,-
,TECOMAN, 73 546.58, 19 382.05,15, 36 602.55,-, 17 546.98
,VILLA DE ALVAREZ, 21 009.40, 3 716.99,-, 17 275.44,-,16.98
CHIAPAS,,4 002 048.38,1 875 441.29, 200 536.62,1 844 302.58, 56 146.65, 25 621.24
,ACACOYAGUA, 16 716.58, 9 163.51, 1 008.80, 6 488.11,-,56.16
,ACALA, 27 905.70, 7 617.45,-, 20 288.25,-,-
,ACAPETAHUA, 35 455.56, 10 627.90,-, 24 789.67,-,38
,ALTAMIRANO, 44 606.38, 19 993.07, 1 009.33, 23 601.23,-,2.75
,AMATAN, 19 900.80, 15 871.37,-, 4 029.44,-,-
,AMATENANGO DE LA FRONTERA, 12 520.17, 11 286.42,-, 1 233.75,-,-
,AMATENANGO DEL VALLE, 5 520.61,897.25,-, 4 623.36,-,-
,ANGEL ALBINO CORZO, 41 846.99, 25 760.21,-, 16 044.54,-,42.25
,ARRIAGA, 52 265.89, 18 315.39, 1 098.00, 31 346.51,-, 1 506.00
,BEJUCAL DE OCAMPO, 4 770.51, 4 770.51,-,-,-,-
,BELLA VISTA, 15 015.95, 15 007.70,-,-,-,8.25
,BERRIOZABAL, 20 676.97, 6 077.18,371.51, 14 228.28,-,-
,BOCHIL, 16 302.65, 10 957.28,-, 5 343.87,-,1.5
,"BOSQUE, EL", 10 437.89, 6 894.92,790.62, 2 752.35,-,-
,CACAHOATAN, 12 932.47, 9 580.69,-, 3 351.78,-,-
,CATAZAJA, 46 825.67, 13 531.98,-, 28 696.69,-, 4 597.00
,CINTALAPA, 173 003.14, 52 860.49,-, 104 486.84, 14 375.31, 1 280.50
,COAPILLA, 12 001.28, 8 324.16, 1 180.61, 2 496.51,-,-
,COMITAN DE DOMINGUEZ, 40 205.26, 5 355.56, 2 708.07, 32 141.63,-,-
,"CONCORDIA, LA", 119 872.97, 36 447.56,-, 82 875.66,-,549.75
,COPAINALA, 20 532.78, 6 159.45, 5 429.15, 8 944.18,-,-
,CHALCHIHUITAN, 5 769.20,-, 5 769.20,-,-,-
,CHAMULA, 9 744.13, 1 093.14, 8 650.98,-,-,-
,CHANAL, 15 455.62,-, 14 009.62, 1 446.00,-,-
,CHAPULTENANGO, 15 293.70, 13 584.66,-, 1 709.05,-,-
,CHENALHO, 14 114.06, 4 690.73, 7 865.33, 1 558.00,-,-
,CHIAPA DE CORZO, 49 407.64, 19 599.20,-, 29 015.93,-,792.5
,CHIAPILLA, 4 075.71, 2 732.70,-, 1 343.01,-,-
,CHICOASEN, 6 550.30, 5 095.97,-, 1 454.33,-,-
,CHICOMUSELO, 37 374.10, 20 396.67,-, 16 740.43,-,237
,CHILON, 89 693.45, 76 815.59,-, 12 877.86,-,-
,ESCUINTLA, 27 861.54, 20 952.53,541.44, 6 297.57,-,70
,FRANCISCO LEON, 17 592.53, 15 592.75,-, 1 999.78,-,-
,FRONTERA COMALAPA, 54 783.69, 38 154.00,-, 16 544.60,-,85.09
,FRONTERA HIDALGO, 7 365.66, 1 497.98,-, 5 867.68,-,-
,"GRANDEZA, LA", 3 637.95, 3 637.95,-,-,-,-
,HUEHUETAN, 22 254.00, 6 992.72,-, 14 991.16,-,270.13
,HUIXTAN, 17 612.19, 8 420.98, 1 200.09, 7 991.13,-,-
,HUITIUPAN, 21 255.64, 20 041.30,-, 1 214.34,-,-
,HUIXTLA, 28 451.52, 15 381.59,-, 12 990.47,-,79.47
,"INDEPENDENCIA, LA", 28 284.10, 18 722.78,61.83, 9 499.49,-,-
,IXHUATAN, 6 290.78, 4 973.51,-, 1 317.27,-,-
,IXTACOMITAN, 10 571.17, 4 214.07,-, 6 357.10,-,-
,IXTAPA, 11 537.04, 8 126.17,-, 3 410.87,-,-
,IXTAPANGAJOYA, 7 128.21, 2 182.83,-, 4 945.38,-,-
,JIQUIPILAS, 75 119.11, 31 504.04,-, 42 368.52,-, 1 246.56
,JITOTOL, 13 998.64, 8 765.03,-, 5 233.61,-,-
,JUAREZ, 66 491.36, 5 219.08,-, 48 059.72, 13 113.90,98.66
,LARRAINZAR, 5 585.43, 1 646.25, 3 925.43,13.75,-,-
,"LIBERTAD, LA", 35 042.78, 4 939.96,-, 29 216.34,-,886.48
,MAPASTEPEC, 77 005.85, 44 539.86,-, 29 653.17, 2 739.20,73.61
,"MARGARITAS, LAS", 126 042.36, 99 145.47, 3 067.20, 23 822.19,-,7.5
,MAZAPA DE MADERO, 4 875.22, 4 875.22,-,-,-,-
,MAZATAN, 26 855.14, 14 497.35,-, 12 233.28,-,124.5
,METAPA, 3 110.09,715.63,-, 2 394.45,-,-
,MITONTIC, 2 553.72,-, 2 553.72,-,-,-
,MOTOZINTLA, 32 496.02, 19 129.84, 1 870.88, 11 182.18,-,313.13
,NICOLAS RUIZ, 2 895.00,-, 2 570.00,325,-,-
,OCOSINGO, 359 920.78, 259 844.63, 23 572.06, 76 130.09,-,374
,OCOTEPEC, 6 984.02, 6 687.52,-,296.5,-,-
,OCOZOCOAUTLA DE ESPINOSA, 101 128.81, 36 841.15,-, 62 188.69,-, 2 098.97
,OSTUACAN, 47 019.15, 11 583.92, 10 844.29, 24 590.94,-,-
,OSUMACINTA, 3 056.35, 1 148.98,-, 1 907.37,-,-
,OXCHUC, 18 741.70, 1 516.19, 16 417.51,808,-,-
,PALENQUE, 268 556.76, 98 443.70,-, 150 283.46, 19 331.58,498.02
,PANTELHO, 10 396.19, 2 552.85,-, 7 843.34,-,-
,PANTEPEC, 5 819.99, 3 631.15,-, 2 188.84,-,-
,PICHUCALCO, 56 857.94, 3 244.98,-, 52 280.23,-, 1 332.73
,PIJIJIAPAN, 120 962.78, 37 872.70, 44 069.61, 30 911.31, 6 586.66, 1 522.50
,"PORVENIR, EL", 4 378.67, 4 378.67,-,-,-,-
,VILLA COMALTITLAN, 33 249.85, 15 910.65,-, 17 189.20,-,150
,PUEBLO NUEVO SOLISTAHUACAN, 15 130.73, 9 615.25,-, 5 395.48,-,120
,RAYON, 3 807.77, 1 010.48,879.76, 1 917.52,-,-
,REFORMA, 38 664.34, 6 904.47,-, 31 759.54,-,0.33
,"ROSAS, LAS", 10 619.16, 2 840.80, 1 222.94, 6 555.42,-,-
,SABANILLA, 21 876.07, 19 233.01,-, 2 643.06,-,-
,SALTO DE AGUA, 98 455.26, 67 532.40,-, 30 922.86,-,-
,SAN CRISTOBAL DE LAS CASAS, 9 477.46, 1 555.49,315.5, 7 569.47,-,37
,SAN FERNANDO, 18 434.87, 6 730.15,-, 10 865.67,-,839.05
,SILTEPEC, 32 138.43, 30 803.49,-, 1 334.94,-,-
,SIMOJOVEL, 23 717.19, 21 895.66,-, 1 820.53,-,1
,SITALA, 7 858.90,890.5,-, 6 968.40,-,-
,SOCOLTENANGO, 18 541.27, 10 028.65, 2 540.82, 5 950.79,-,21
,SOLOSUCHIAPA, 11 008.65, 3 560.08,-, 7 448.57,-,-
,SOYALO, 4 255.12, 3 862.22,-,392.9,-,-
