,,UNIDADES DE PRODUCCIÓN RURALES CON SUPERFICIE AGRÍCOLA,,,,LM368_01,,,,,,
,,"POR ENTIDAD, MUNICIPIO Y GRUPO DE SUPERFICIE TOTAL",,,,,,,,,,
,,,,,,,,,,,,
,,"ENTIDAD,  MUNICIPIO Y GRUPO DE SUPERFICIE TOTAL",,,UNIDADES DE PRODUCCIÓN,SUPERFICIE AGRÍCOLA                                      (HA),,,,,,
,,,,,,,,,,,,
Ent,Mun,,,,,,,,,,,
,,,,,,,,,,,,
,,ESTADOS UNIDOS MEXICANOS,,,3 794 025,30 537 701.74,,,,,,
00,,,,HASTA    2 HA.,1 312 251,1 461 393.53,,,,,,
00,,,,MAS DE    2 HASTA    5 HA., 962 472,3 267 558.27,,,,,,
00,,,,MAS DE    5 HASTA   20 HA.,1 185 224,10 306 700.52,,,,,,
00,,,,MAS DE   20 HASTA   50 HA., 199 364,4 012 820.76,,,,,,
00,,,,MAS DE   50 HASTA  100 HA., 67 007,2 817 081.46,,,,,,
00,,,,MAS DE  100 HASTA 1000 HA., 62 859,6 441 001.43,,,,,,
00,,,,MAS DE 1000 HASTA 2500 HA., 3 223,1 103 623.63,,,,,,
00,,,,MAS DE 2500 HA., 1 625,1 127 522.14,,,,,,
01,,AGUASCALIENTES,,, 19 236, 157 908.72,,,,,,
01,,,,HASTA    2 HA., 2 497, 3 323.91,,,,,,
01,,,,MAS DE    2 HASTA    5 HA., 5 264, 19 722.64,,,,,,
01,,,,MAS DE    5 HASTA   20 HA., 9 919, 76 462.81,,,,,,
01,,,,MAS DE   20 HASTA   50 HA.,  782, 17 890.72,,,,,,
01,,,,MAS DE   50 HASTA  100 HA.,  410, 17 204.81,,,,,,
01,,,,MAS DE  100 HASTA 1000 HA.,  359, 23 028.83,,,,,,
01,,,,MAS DE 1000 HASTA 2500 HA.,  5,  275.00,,,,,,
01,001,,AGUASCALIENTES,, 6 684, 71 893.88,,,,,,
01,,,,HASTA    2 HA.,  437,  745.27,,,,,,
01,,,,MAS DE    2 HASTA    5 HA., 1 425, 5 390.10,,,,,,
01,,,,MAS DE    5 HASTA   20 HA., 4 120, 32 792.05,,,,,,
01,,,,MAS DE   20 HASTA   50 HA.,  370, 9 276.33,,,,,,
01,,,,MAS DE   50 HASTA  100 HA.,  198, 10 211.82,,,,,,
01,,,,MAS DE  100 HASTA 1000 HA.,*, 13 318.32,,,,,,
01,,,,MAS DE 1000 HASTA 2500 HA.,*,  160.00,,,,,,
01,002,,ASIENTOS,, 2 791, 20 647.23,,,,,,
01,,,,HASTA    2 HA.,  131,  194.84,,,,,,
