"UNIDADES CENSALES, SEGÚN TIPO DE UNIDAD, POR ENTIDAD Y MUNICIPIO",,,,,,,CUADRO 1,
,,,,,,,,
ENTIDAD Y  MUNICIPIO ,, UNIDADES DE PRODUCCIÓN,,,, VIVIENDAS CON              ACTIVIDAD AGROPECUARIA, EJIDOS Y COMUNIDADES AGRARIAS,
,,RURALES ,,,URBANAS,,,
,, TOTAL, CON ACTIVIDAD AGROPECUARIA  O FORESTAL,SIN ACTIVIDAD AGROPECUARIA Y FORESTAL,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
ESTADOS UNIDOS MEXICANOS,,4 407 880,3 823 063, 584 817, 53 432,1 765 401, 29 983,
AGUASCALIENTES,, 21 416, 18 859, 2 557,  247, 13 683,  180,
,AGUASCALIENTES, 7 218, 6 307,  911,  88, 4 119,  77,
,ASIENTOS, 2 869, 2 694,  175,  14, 1 226,  30,
,CALVILLO, 3 334, 2 760,  574,  41, 3 046,  8,
,COSIO, 1 092, 1 045,  47,  7,  443,  10,
,JESUS MARIA, 2 037, 1 600,  437,  52, 1 690,  13,
,PABELLON DE ARTEAGA,  800,  751,  49,  14, 1 090,  9,
,RINCON DE ROMOS, 1 927, 1 746,  181,  23, 1 421,  13,
,SAN JOSE DE GRACIA,  979,  883,  96,  5,  281,  9,
,TEPEZALA, 1 160, 1 073,  87,  3,  367,  11,
BAJA CALIFORNIA,, 14 724, 10 327, 4 397,  513, 20 000,  227,
,ENSENADA, 4 207, 2 625, 1 582,  138, 4 435,  94,
,MEXICALI, 8 386, 6 352, 2 034,  301, 12 878,  106,
,TECATE,  795,  442,  353,  22, 1 159,  16,
,TIJUANA, 1 336,  908,  428,  52, 1 528,  11,
BAJA CALIFORNIA SUR,, 7 342, 4 920, 2 422,  275, 8 605,  100,
,COMONDU, 2 170, 1 325,  845,  91, 3 790,  21,
,MULEGE, 1 115,  810,  305,  37, 1 276,  30,
,"PAZ, LA", 2 494, 1 623,  871,  120, 2 094,  30,
,"CABOS, LOS", 1 563, 1 162,  401,  27, 1 445,  19,
CAMPECHE,, 43 319, 36 916, 6 403,  617, 12 668,  399,
,CALKINI, 3 189, 2 547,  642,  88, 2 143,  16,
,CAMPECHE, 4 738, 4 158,  580,  51, 1 207,  31,
,CARMEN, 8 430, 7 742,  688,  115, 2 403,  85,
,CHAMPOTON, 10 651, 8 858, 1 793,  67, 3 018,  96,
,HECELCHAKAN, 2 161, 1 633,  528,  61, 1 374,  14,
,HOPELCHEN, 6 736, 5 474, 1 262,  56, 1 364,  98,
,PALIZADA, 1 208,  960,  248,  5,  196,  5,
,TENABO, 1 039,  964,  75,  16,  223,  9,
,ESCARCEGA, 5 167, 4 580,  587,  158,  740,  45,
COAHUILA,, 56 629, 51 645, 4 984, 1 407, 36 396,  882,
,ABASOLO,  243,  240,  3,  17,  94,  4,
,ACUÑA,  549,  526,  23,  13,  602,  13,
,ALLENDE,  282,  261,  21,  21, 1 020,  4,
,ARTEAGA, 3 110, 2 662,  448,  30,  809,  25,
,CANDELA,  309,  265,  44,  13,  157,  6,
,CASTAÑOS, 1 519, 1 427,  92,  11,  614,  23,
,CUATROCIENEGAS, 1 270, 1 139,  131,  14,  698,  28,
,ESCOBEDO,  406,  384,  22,  21,  139,  4,
,FRANCISCO I. MADERO, 3 892, 3 675,  217,  58, 1 868,  53,
,FRONTERA,  670,  618,  52,  17, 1 255,  6,
,GENERAL CEPEDA, 2 223, 2 027,  196,  7,  286,  47,
,GUERRERO,  446,  351,  95,  6,  112,  4,
,HIDALGO,  262,  239,  23,*,  51,*,
,JIMENEZ, 1 361, 1 286,  75,-,  355,  19,
,JUAREZ,  376,  348,  28,  5,  98,  3,
,LAMADRID,  160,  149,  11,  29,  226,*,
,MATAMOROS, 5 124, 4 404,  720,  212, 3 388,  61,
,MONCLOVA,  592,  516,  76,  51, 1 077,  8,
,MORELOS,  240,  220,  20,  23,  605,*,
,MUZQUIZ, 1 295, 1 240,  55,  18, 2 646,  14,
,NADADORES,  573,  564,  9,  13,  474,  10,
,NAVA,  575,  486,  89,  38, 1 190,  7,
,OCAMPO, 1 714, 1 602,  112,  37,  288,  44,
,PARRAS, 3 160, 2 872,  288,  24,  938,  75,
,PIEDRAS NEGRAS,  527,  458,  69,  8,  549,  5,
,PROGRESO,  410,  388,  22,  12,  323,  7,
,RAMOS ARIZPE, 2 487, 2 013,  474,  22,  381,  55,
,SABINAS,  859,  782,  77,  39, 1 527,  8,
,SACRAMENTO,  227,  214,  13,  17,  124,*,
,SALTILLO, 5 133, 4 700,  433,  99, 1 435,  85,
,SAN BUENAVENTURA,  762,  724,  38,  26,  973,  13,
,SAN JUAN DE SABINAS,  520,  492,  28,  17, 1 471,  7,
,SAN PEDRO, 8 685, 8 329,  356,  143, 1 602,  109,
,SIERRA MOJADA,  761,  681,  80,*,  103,  25,
,TORREON, 2 655, 2 423,  232,  97, 6 220,  41,
,VIESCA, 2 100, 1 860,  240,  197, 1 268,  40,
,VILLA UNION,  531,  504,  27,  16,  468,  11,
,ZARAGOZA,  621,  576,  45,  31,  962,  13,
COLIMA,, 16 247, 13 301, 2 946,  279, 19 181,  153,
,ARMERIA, 1 884, 1 479,  405,  22, 1 651,  8,
,COLIMA, 1 901, 1 560,  341,  20, 2 683,  21,
,COMALA, 1 442, 1 286,  156,  27, 1 074,  14,
,COQUIMATLAN, 1 486, 1 172,  314,  27,  884,  14,
,CUAUHTEMOC, 1 867, 1 697,  170,  42, 2 145,  11,
,IXTLAHUACAN,  862,  706,  156,  3,  339,  11,
,MANZANILLO, 3 188, 2 580,  608,  48, 4 113,  36,
,MINATITLAN,  732,  606,  126,  12,  522,  9,
,TECOMAN, 2 219, 1 656,  563,  72, 4 171,  22,
,VILLA DE ALVAREZ,  666,  559,  107,  6, 1 599,  7,
CHIAPAS,, 307 742, 306 320, 1 422, 1 935, 67 718, 2 072,
,ACACOYAGUA, 1 091, 1 080,  11,*,  373,  12,
,ACALA, 2 069, 2 041,  28,  37,  772,  7,
,ACAPETAHUA, 1 772, 1 759,  13,  60, 1 653,  15,
,ALTAMIRANO, 2 475, 2 471,  4,  11,  603,  31,
,AMATAN, 1 940, 1 935,  5,  7,  131,  18,
,AMATENANGO DE LA FRONTERA, 2 358, 2 356,*,*,  393,  11,
,AMATENANGO DEL VALLE,  958,  951,  7,*,  23,*,
,ANGEL ALBINO CORZO, 3 443, 3 437,  6,  14,  489,  18,
,ARRIAGA, 1 518, 1 470,  48,  30, 1 214,  15,
,BEJUCAL DE OCAMPO,  729,  728,*,-,  206,  3,
,BELLA VISTA, 2 189, 2 186,  3,*,  307,  9,
,BERRIOZABAL, 1 215, 1 213,*,  45,  572,  9,
,BOCHIL, 1 778, 1 771,  7,*,  213,  24,
,"BOSQUE, EL", 2 080, 2 080,-,  8,  64,  13,
,CACAHOATAN, 2 219, 2 214,  5,  18, 1 201,  18,
,CATAZAJA, 1 408, 1 396,  12,  6,  756,  15,
,CINTALAPA, 4 934, 4 837,  97,  62, 1 298,  43,
,COAPILLA,  977,  977,-,  16,  148,  5,
,COMITAN DE DOMINGUEZ, 5 536, 5 478,  58,  22,  678,  20,
,"CONCORDIA, LA", 4 676, 4 654,  22,  12,  541,  21,
,COPAINALA, 1 815, 1 815,-,  36,  912,  10,
,CHALCHIHUITAN, 1 892, 1 892,-,-,*,*,
,CHAMULA, 9 995, 9 991,  4,  6,  290,  3,
,CHANAL, 1 264, 1 263,*,  12,  80,*,
,CHAPULTENANGO,  980,  978,*,  11,  113,  7,
,CHENALHO, 4 847, 4 842,  5,-,  761,  10,
,CHIAPA DE CORZO, 3 082, 3 067,  15,  40, 1 285,  29,
,CHIAPILLA,  710,  708,*,-,  50,*,
,CHICOASEN,  500,  500,-,  4,  65,*,
,CHICOMUSELO, 2 607, 2 593,  14,  46, 1 010,  20,
,CHILON, 9 375, 9 369,  6,  24,  455,  15,
,ESCUINTLA, 2 381, 2 375,  6,  19,  877,  20,
,FRANCISCO LEON,  871,  870,*,-,  41,  5,
,FRONTERA COMALAPA, 3 647, 3 642,  5,  29, 1 601,  33,
,FRONTERA HIDALGO,  827,  817,  10,-,  394,*,
,"GRANDEZA, LA",  670,  667,  3,*,  165,  3,
,HUEHUETAN, 1 900, 1 879,  21,  16,  863,  10,
,HUIXTAN, 3 032, 3 018,  14,  4,  360,  19,
,HUITIUPAN, 3 033, 3 033,-,*,  121,  51,
,HUIXTLA, 2 188, 2 148,  40,  11, 1 328,  14,
,"INDEPENDENCIA, LA", 5 285, 5 279,  6,  13,  221,  26,
,IXHUATAN,  802,  801,*,*,  186,  6,
,IXTACOMITAN,  603,  603,-,  17,  372,  8,
,IXTAPA, 1 505, 1 500,  5,  11,  249,  17,
,IXTAPANGAJOYA,  361,  360,*,*,  177,*,
,JIQUIPILAS, 4 501, 4 479,  22,  39, 1 578,  31,
,JITOTOL, 1 362, 1 360,*,  27,  230,  7,
,JUAREZ, 1 423, 1 353,  70,  11,  722,  6,
,LARRAINZAR, 2 776, 2 768,  8,  3,  155,  4,
,"LIBERTAD, LA",  586,  585,*,  14,  198,  3,
,MAPASTEPEC, 3 591, 3 575,  16,  42, 2 357,  41,
,"MARGARITAS, LAS", 11 537, 11 528,  9,  32, 2 164,  174,
,MAZAPA DE MADERO,  981,  975,  6,*,  119,  4,
,MAZATAN, 2 235, 2 210,  25,  26, 1 062,  18,
,METAPA,  410,  406,  4,  3,  134,*,
,MITONTIC, 1 177, 1 170,  7,  3,  29,*,
,MOTOZINTLA, 4 622, 4 601,  21,  6,  643,  40,
,NICOLAS RUIZ,  559,  559,-,-,*,*,
,OCOSINGO, 19 511, 19 491,  20,  71,  862,  206,
,OCOTEPEC,  998,  997,*,  4,  22,*,
,OCOZOCOAUTLA DE ESPINOSA, 4 354, 4 328,  26,  18,  716,  43,
,OSTUACAN, 1 741, 1 740,*,  22,  655,  22,
,OSUMACINTA,  360,  360,-,  7,  30,  3,
,OXCHUC, 5 366, 5 342,  24,  41,  409,  3,
,PALENQUE, 6 799, 6 753,  46,  57, 1 801,  101,
,PANTELHO, 2 203, 2 193,  10,*,  349,  8,
,PANTEPEC,  690,  690,-,-,  65,  4,
,PICHUCALCO, 1 454, 1 452,*,  20,  855,  7,
,PIJIJIAPAN, 3 952, 3 938,  14,  4, 2 378,  41,
,"PORVENIR, EL", 1 300, 1 300,-,*,  76,  5,
,VILLA COMALTITLAN, 2 294, 2 283,  11,  8,  637,  11,
,PUEBLO NUEVO SOLISTAHUACAN, 1 977, 1 977,-,  31,  358,  15,
,RAYON,  639,  638,*,  11,  144,  4,
,REFORMA,  967,  937,  30,  13,  513,  6,
,"ROSAS, LAS", 1 718, 1 714,  4,  35,  229,  8,
,SABANILLA, 2 745, 2 742,  3,  10,  178,  18,
,SALTO DE AGUA, 4 883, 4 879,  4,  33,  729,  64,
,SAN CRISTOBAL DE LAS CASAS, 2 273, 2 253,  20,  53, 1 387,  10,
,SAN FERNANDO, 1 946, 1 942,  4,  6,  681,  11,
,SILTEPEC, 3 916, 3 908,  8,*,  349,  18,
,SIMOJOVEL, 3 723, 3 723,-,  25,  253,  60,
,SITALA, 1 008, 1 005,  3,  10,  144,*,
,SOCOLTENANGO, 1 998, 1 992,  6,-,  254,  25,
,SOLOSUCHIAPA,  516,  514,*,  10,  370,  6,
,SOYALO,  925,  925,-,*,  82,*,
,SUCHIAPA, 1 281, 1 263,  18,  28,  578,  3,
,SUCHIATE, 1 117, 1 102,  15,  17,  440,  16,
,SUNUAPA,  284,  282,*,*,  80,*,
,TAPACHULA, 6 865, 6 740,  125,  58, 2 858,  39,
,TAPALAPA,  381,  381,-,-,  63,*,
,TAPILULA,  834,  834,-,  25,  259,  3,
,TECPATAN, 3 818, 3 816,*,  37,  575,  48,
,TENEJAPA, 4 418, 4 416,*,*,  38,  3,
,TEOPISCA, 2 770, 2 731,  39,  16,  806,  11,
,TILA, 7 285, 7 283,*,  20,  584,  28,
,TONALA, 3 649, 3 559,  90,  38, 2 570,  36,
,TOTOLAPA,  646,  644,*,-,-,  3,
,"TRINITARIA, LA", 8 367, 8 336,  31,  37, 1 157,  47,
,TUMBALA, 2 895, 2 895,-,-,  395,  14,
,TUXTLA GUTIERREZ, 1 032, 1 023,  9,  45, 1 795,  5,
,TUXTLA CHICO, 3 201, 3 178,  23,-,  435,  7,
,TUZANTAN, 2 470, 2 466,  4,  3, 1 044,  15,
,TZIMOL, 1 133, 1 129,  4,  14,  572,  7,
,UNION JUAREZ, 1 306, 1 303,  3,  6,  263,  12,
,VENUSTIANO CARRANZA, 5 662, 5 656,  6,  32, 1 169,  20,
,VILLA CORZO, 6 121, 6 116,  5,  70, 1 643,  38,
,VILLAFLORES, 6 501, 6 480,  21,  23, 1 201,  42,
,YAJALON, 1 578, 1 574,  4,  31,  732,  5,
,SAN LUCAS,  845,  840,  5,  3,  46,*,
,ZINACANTAN, 5 039, 4 953,  86,-,  154,  6,
,SAN JUAN CANCUC, 2 691, 2 691,-,  65,  722,*,
CHIHUAHUA,, 102 591, 94 778, 7 813, 1 473, 35 924,  953,
,AHUMADA,  849,  761,  88,  5,  438,  22,
,ALDAMA, 1 248, 1 078,  170,  31,  905,  19,
,ALLENDE, 1 217, 1 163,  54,  21,  375,  18,
,AQUILES SERDAN,  372,  154,  218,*,  127,  5,
,ASCENSION, 2 550, 1 058, 1 492,  10,  849,  21,
,BACHINIVA, 1 487, 1 436,  51,  154,  333,  11,
,BALLEZA, 2 207, 1 925,  282,  6,  370,  18,
,BATOPILAS, 1 499, 1 495,  4,-,  35,  11,
,BOCOYNA, 3 568, 3 536,  32,  6,  161,  24,
,BUENAVENTURA, 2 032, 1 874,  158,  44, 1 094,  12,
,CAMARGO, 1 683, 1 536,  147,  12, 1 574,  26,
,CARICHI, 2 068, 1 997,  71,  12,  81,  24,
,CASAS GRANDES, 1 449, 1 365,  84,  24,  375,  11,
,CORONADO,  486,  467,  19,  4,  91,  6,
,COYAME,  458,  358,  100,  9,  119,  9,
,"CRUZ, LA",  434,  416,  18,  10,  221,  5,
,CUAUHTEMOC, 6 019, 5 677,  342,  73, 3 183,  26,
,CUSIHUIRIACHI, 1 496, 1 414,  82,  9,  205,  19,
,CHIHUAHUA, 3 773, 3 378,  395,  132, 2 059,  44,
