,"MÉDICOS POR CADA 1,000 HABITANTES A NIVEL MUNICIPAL, 2005-2009",,,,,LEER NOTA,,
,,,,,,,,
Clave,Estado,Municipio,2005,2006,2007,2008,2009,2010
01001,AGUASCALIENTES,Aguascalientes,2.5,2.5,2.5,2.6,2.6,2.6
01002,AGUASCALIENTES,Asientos,1.2,1.1,1.1,1.2,1.1,1.1
01003,AGUASCALIENTES,Calvillo,2.1,2.2,2.3,2.4,2.3,2.4
01004,AGUASCALIENTES,Cosío,0.8,0.8,0.6,0.8,0.8,0.7
01005,AGUASCALIENTES,Jesús María,0.5,0.5,0.5,0.5,0.5,0.5
01006,AGUASCALIENTES,Pabellón de Arteaga,2.5,2.4,2.5,2.4,2.5,2.6
01007,AGUASCALIENTES,Rincón de Romos,2.7,2.7,2.7,2.7,2.9,3.0
01008,AGUASCALIENTES,San José de Gracia,2.2,2.0,1.9,2.1,1.7,2.0
01009,AGUASCALIENTES,Tepezalá,0.7,0.7,0.7,0.7,0.7,0.8
01010,AGUASCALIENTES,El Llano,0.9,0.7,0.9,1.0,1.0,1.0
01011,AGUASCALIENTES,San Francisco de los Romo,0.6,0.5,0.4,0.4,0.5,0.4
02001,BAJA CALIFORNIA,Ensenada,1.8,1.7,1.8,1.9,1.9,2.0
02002,BAJA CALIFORNIA,Mexicali,1.6,1.8,1.8,1.7,1.8,1.7
02003,BAJA CALIFORNIA,Tecate,1.2,1.2,1.2,1.2,1.5,1.9
02004,BAJA CALIFORNIA,Tijuana,1.0,1.1,1.1,1.2,1.2,1.2
02005,BAJA CALIFORNIA,Playas de Rosarito,0.5,0.8,0.8,0.9,1.0,1.0
03001,BAJA CALIFORNIA SUR,Comondú,2.5,2.7,2.6,2.8,2.8,2.8
03002,BAJA CALIFORNIA SUR,Mulegé,3.0,3.1,2.9,2.4,3.0,3.1
03003,BAJA CALIFORNIA SUR,La Paz,3.0,2.8,2.7,2.0,3.0,3.2
03008,BAJA CALIFORNIA SUR,Los Cabos,1.2,1.5,1.3,1.3,1.3,1.4
03009,BAJA CALIFORNIA SUR,Loreto,1.8,1.8,2.0,15.1,1.9,2.3
04001,CAMPECHE,Calkiní,1.0,1.3,1.3,1.4,1.2,1.4
04002,CAMPECHE,Campeche,3.2,3.3,3.4,3.6,3.9,3.9
04003,CAMPECHE,Carmen,2.7,2.7,2.7,2.8,2.7,2.7
04004,CAMPECHE,Champotón,1.4,1.5,1.6,1.5,1.5,1.6
04005,CAMPECHE,Hecelchakán,1.0,1.2,1.3,1.3,1.5,1.7
04006,CAMPECHE,Hopelchén,1.1,1.4,1.7,1.7,1.5,1.7
04007,CAMPECHE,Palizada,2.7,3.3,3.8,3.7,3.1,3.2
04008,CAMPECHE,Tenabo,1.3,1.5,1.7,1.7,1.4,1.7
04009,CAMPECHE,Escárcega,1.7,1.5,1.6,1.9,1.5,1.6
04010,CAMPECHE,Calakmul,1.1,1.3,1.3,1.3,1.5,1.6
04011,CAMPECHE,Candelaria,1.2,1.6,1.6,1.5,1.6,1.5
05001,COAHUILA,Abasolo,n.d.,n.d.,n.d.,n.d.,n.d.,0.0
05002,COAHUILA,Acuña,n.d.,n.d.,n.d.,n.d.,n.d.,1.4
05003,COAHUILA,Allende,n.d.,n.d.,n.d.,n.d.,n.d.,1.1
05004,COAHUILA,Arteaga,n.d.,n.d.,n.d.,n.d.,n.d.,0.5
05005,COAHUILA,Candela,n.d.,n.d.,n.d.,n.d.,n.d.,0.6
05006,COAHUILA,Castaños,n.d.,n.d.,n.d.,n.d.,n.d.,0.9
05007,COAHUILA,Cuatro Ciénegas,n.d.,n.d.,n.d.,n.d.,n.d.,4.5
05008,COAHUILA,Escobedo,n.d.,n.d.,n.d.,n.d.,n.d.,0.3
05009,COAHUILA,Francisco I. Madero,n.d.,n.d.,n.d.,n.d.,n.d.,2.5
05010,COAHUILA,Frontera,n.d.,n.d.,n.d.,n.d.,n.d.,0.7
05011,COAHUILA,General Cepeda,n.d.,n.d.,n.d.,n.d.,n.d.,1.0
05012,COAHUILA,Guerrero,n.d.,n.d.,n.d.,n.d.,n.d.,0.5
05013,COAHUILA,Hidalgo,n.d.,n.d.,n.d.,n.d.,n.d.,0.0
05014,COAHUILA,Jiménez,n.d.,n.d.,n.d.,n.d.,n.d.,0.2
05015,COAHUILA,Juárez,n.d.,n.d.,n.d.,n.d.,n.d.,1.3
05016,COAHUILA,Lamadrid,n.d.,n.d.,n.d.,n.d.,n.d.,0.0
05017,COAHUILA,Matamoros,n.d.,n.d.,n.d.,n.d.,n.d.,0.7
05018,COAHUILA,Monclova,n.d.,n.d.,n.d.,n.d.,n.d.,2.2
05019,COAHUILA,Morelos,n.d.,n.d.,n.d.,n.d.,n.d.,1.0
05020,COAHUILA,Múzquiz,n.d.,n.d.,n.d.,n.d.,n.d.,1.3
05021,COAHUILA,Nadadores,n.d.,n.d.,n.d.,n.d.,n.d.,0.8
05022,COAHUILA,Nava,n.d.,n.d.,n.d.,n.d.,n.d.,0.5
05023,COAHUILA,Ocampo,n.d.,n.d.,n.d.,n.d.,n.d.,0.4
05024,COAHUILA,Parras,n.d.,n.d.,n.d.,n.d.,n.d.,1.5
05025,COAHUILA,Piedras Negras,n.d.,n.d.,n.d.,n.d.,n.d.,2.2
05026,COAHUILA,Progreso,n.d.,n.d.,n.d.,n.d.,n.d.,2.6
05027,COAHUILA,Ramos Arizpe,n.d.,n.d.,n.d.,n.d.,n.d.,1.0
05028,COAHUILA,Sabinas,n.d.,n.d.,n.d.,n.d.,n.d.,2.8
