Area Geográfica,,XI Censo general de población y vivienda 1990,,,,,,,,
,,Población ocupada de 12 y más,,,,,,,,
,,Población ocupada de 12 años y más (Personas),,,,,,,,
,,Disciplina académica,,Tamaño localidad 15 tam,,,,,,
Clave,Nombre,Total,Medicina,Total,"Menos de 2,500 habitantes","2,500 a 14,999 habitantes","15,000 a 99,999 habitantes","100,000 a 999,999 habitantes","1,000,000 y más habitantes",No aplica para viviendas colectivas
01,Aguascalientes,212365,1498,212365,42499,15521,14278,140067,,
01001,Aguascalientes,157627,1406,157627,13795,3765,,140067,,
01002,Asientos,7638,4,7638,6152,1486,,,,
01003,Calvillo,12551,25,12551,6516,1481,4554,,,
01004,Cosío,2540,3,2540,1673,867,,,,
01005,Jesús María,11770,13,11770,6107,5663,,,,
01006,Pabellón de Arteaga,7058,19,7058,1963,,5095,,,
01007,Rincón de Romos,8585,22,8585,3147,809,4629,,,
01008,San José de Gracia,1459,2,1459,644,815,,,,
01009,Tepezalá,3137,4,3137,2502,635,,,,
01010,El Llano,,,,,,,,,
01011,San Francisco de los Romo,,,,,,,,,
01996,No especificado,,,,,,,,,
01997,Otros estados,,,,,,,,,
02,Baja California,565471,4084,565471,48065,44563,21602,451241,,
02001,Ensenada,86690,626,86690,14960,14281,,57449,,
02002,Mexicali,200104,1403,200104,27077,24966,,148061,,
02003,Tecate,17151,82,17151,3294,,13857,,,
02004,Tijuana,261526,1973,261526,2734,5316,7745,245731,,
02005,Playas de Rosarito,,,,,,,,,
02996,No especificado,,,,,,,,,
02997,Otros estados,,,,,,,,,
03,Baja California Sur,102763,671,102763,21746,19167,16426,45424,,
03001,Comondú,22247,112,22247,6205,5802,10240,,,
03002,Mulegé,12317,67,12317,4916,7401,,,,
03003,La Paz,52815,431,52815,6404,987,,45424,,
03008,Los Cabos,15384,61,15384,4221,4977,6186,,,
03009,Loreto,,,,,,,,,
03996,No especificado,,,,,,,,,
03997,Otros estados,,,,,,,,,
04,Campeche,149983,770,149983,42441,25732,34973,46837,,
04001,Calkiní,10382,14,10382,2462,7920,,,,
04002,Campeche,53575,462,53575,5156,1582,,46837,,
04003,Carmen,37718,200,37718,8836,4396,24486,,,
04004,Champotón,18862,36,18862,10359,3639,4864,,,
04005,Hecelchakán,4823,11,4823,1579,3244,,,,
04006,Hopelchén,9314,10,9314,7254,2060,,,,
04007,Palizada,1943,9,1943,1310,633,,,,
04008,Tenabo,1780,3,1780,416,1364,,,,
04009,Escárcega,11586,25,11586,5069,894,5623,,,
04010,Calakmul,,,,,,,,,
