Área Geográfica,,XI Censo general de población y vivienda 1990,,,,,,,,,,,,,,,,,,,,
,,Hogares,,,,,,,,,,,,,,,,,,,,
,,Hogares (Hogares),,,,,,,,,,,Población en hogares (Hogares),,,,,,,,,
,,Sexo del jefe,,,Tamaño localidad 15 tam,,,,,,,,Sexo del jefe,,,Tamaño localidad 15 tam,,,,,,
Clave,Nombre,Total,Hombres,Mujeres,Total,"Menos de 2,500 habitantes",1 a 49  habitantes,50 a 99  habitantes,100 a 499 habitantes,500 a 999 habitantes,"1,000 a 1,999 habitantes","2,000 a 2,499 habitantes",Total,Hombres,Mujeres,Total,"Menos de 2,500 habitantes","2,500 a 14,999 habitantes","15,000 a 99,999 habitantes","100,000 a 999,999 habitantes","1,000,000 y más habitantes",No aplica para viviendas colectivas
01,Aguascalientes,131027,111826,19201,131027,27849,2180,1120,7461,8688,6412,1988,690813,612698,78115,690813,162706,56128,49623,422356,,
01001,Aguascalientes,95165,80528,14637,95165,8479,1076,579,2830,2456,927,611,484532,426276,58256,484532,48979,13197,,422356,,
01002,Asientos,5363,4816,547,5363,4238,70,46,1186,2148,442,346,31338,29039,2299,31338,25148,6190,,,,
01003,Calvillo,8397,7216,1181,8397,4512,181,150,982,1226,1973,,47319,42507,4812,47319,25917,5436,15966,,,
01004,Cosío,1784,1560,224,1784,1178,33,,164,745,236,,9891,8897,994,9891,6785,3106,,,,
01005,Jesús María,6577,5846,731,6577,3490,230,151,849,634,1626,,39456,35892,3564,39456,20653,18803,,,,
01006,Pabellón de Arteaga,4508,3865,643,4508,1269,226,74,190,246,188,345,25062,22293,2769,25062,7460,,17602,,,
01007,Rincón de Romos,5621,4830,791,5621,2188,242,65,465,839,261,316,32260,28705,3555,32260,13129,3076,16055,,,
01008,San José de Gracia,1166,1024,142,1166,574,38,38,178,143,177,,6629,6062,567,6629,3355,3274,,,,
01009,Tepezalá,2446,2141,305,2446,1921,84,17,617,251,582,370,14326,13027,1299,14326,11280,3046,,,,
01010,El Llano,,,,,,,,,,,,,,,,,,,,,
01011,San Francisco de los Romo,,,,,,,,,,,,,,,,,,,,,
01996,No especificado,,,,,,,,,,,,,,,,,,,,,
01997,Otros estados,,,,,,,,,,,,,,,,,,,,,
02,Baja California,363268,295540,67728,363268,32612,3117,1108,9136,7691,11145,415,1599837,1340833,259004,1599837,144729,137865,61981,1255262,,
02001,Ensenada,58729,48192,10537,58729,9677,1606,514,2464,2217,2876,,247397,209558,37839,247397,41140,43520,,162737,,
02002,Mexicali,131585,107143,24442,131585,18411,514,428,5035,5359,7075,,582301,489167,93134,582301,84560,77457,,420284,,
02003,Tecate,11434,9589,1845,11434,2674,740,83,657,,1194,,50149,43171,6978,50149,10949,,39200,,,
02004,Tijuana,161520,130616,30904,161520,1850,257,83,980,115,,415,719990,598937,121053,719990,8080,16888,22781,672241,,
02005,Playas de Rosarito,,,,,,,,,,,,,,,,,,,,,
02996,No especificado,,,,,,,,,,,,,,,,,,,,,
02997,Otros estados,,,,,,,,,,,,,,,,,,,,,
03,Baja California Sur,67952,57679,10273,67952,14476,3821,966,3366,3103,1802,1418,308460,268318,40142,308460,66777,57510,49099,135074,,
03001,Comondú,15263,13248,2015,15263,4395,1418,189,1081,775,419,513,72308,64158,8150,72308,20199,18589,33520,,,
03002,Mulegé,8608,7604,1004,8608,3459,578,258,787,1089,256,491,37587,33595,3992,37587,14972,22615,,,,
03003,La Paz,34628,28786,5842,34628,3878,1286,303,834,373,668,414,157289,134807,22482,157289,18938,3277,,135074,,
03008,Los Cabos,9453,8041,1412,9453,2744,539,216,664,866,459,,41276,35758,5518,41276,12668,13029,15579,,,
03009,Loreto,,,,,,,,,,,,,,,,,,,,,
03996,No especificado,,,,,,,,,,,,,,,,,,,,,
03997,Otros estados,,,,,,,,,,,,,,,,,,,,,
04,Campeche,109004,94417,14587,109004,30334,2669,867,9164,8418,6539,2677,520738,464097,56641,520738,157014,98078,118792,146854,,
04001,Calkiní,7288,6526,762,7288,1708,22,,193,551,942,,37718,34757,2961,37718,9356,28362,,,,
04002,Campeche,37793,31318,6475,37793,3338,198,107,811,892,853,477,168899,145090,23809,168899,16304,5741,,146854,,
04003,Carmen,28188,24100,4088,28188,6689,967,180,2226,1711,1168,437,132266,115848,16418,132266,34611,16792,80863,,,
04004,Champotón,14283,13090,1193,14283,7526,268,223,1976,2462,1702,895,70391,65691,4700,70391,37748,14895,17748,,,
04005,Hecelchakán,3623,3289,334,3623,1018,12,,171,416,419,,19722,18365,1357,19722,6105,13617,,,,
04006,Hopelchén,6619,6088,531,6619,5059,258,266,2079,1158,430,868,34470,32249,2221,34470,26507,7963,,,,
04007,Palizada,1438,1271,167,1438,868,461,37,370,,,,6981,6338,643,6981,4528,2453,,,,
04008,Tenabo,1198,1106,92,1198,276,10,20,76,170,,,6421,6062,359,6421,1414,5007,,,,
04009,Escárcega,8574,7629,945,8574,3852,473,34,1262,1058,1025,,43870,39697,4173,43870,20441,3248,20181,,,
04010,Calakmul,,,,,,,,,,,,,,,,,,,,,
04011,Candelaria,,,,,,,,,,,,,,,,,,,,,
04996,No especificado,,,,,,,,,,,,,,,,,,,,,
04997,Otros estados,,,,,,,,,,,,,,,,,,,,,
05,Coahuila de Zaragoza,409121,351165,57956,409121,55370,5737,2592,18280,12263,14736,1762,1942733,1724294,218439,1942733,271816,123666,525796,1021455,,
05001,Abasolo,370,315,55,370,370,18,,,352,,,1402,1274,128,1402,1402,,,,,
05002,Acuña,12040,10020,2020,12040,679,81,49,411,138,,,54619,46914,7705,54619,2959,,51660,,,
05003,Allende,4227,3572,655,4227,466,80,,76,,310,,18146,15984,2162,18146,1837,,16309,,,
05004,Arteaga,3607,3243,364,3607,2777,518,182,919,747,411,,17223,15924,1299,17223,13256,3967,,,,
05005,Candela,472,407,65,472,472,45,17,43,,367,,1881,1706,175,1881,1881,,,,,
05006,Castaños,4374,3922,452,4374,641,168,87,386,,,,21132,19398,1734,21132,2943,,18189,,,
05007,Cuatro Ciénegas,2643,2264,379,2643,839,165,134,540,,,,12194,10799,1395,12194,3768,8426,,,,
05008,Escobedo,645,560,85,645,645,24,19,141,163,298,,2935,2684,251,2935,2935,,,,,
05009,Francisco I. Madero,10004,8718,1286,10004,3536,110,96,673,1098,1559,,50629,45355,5274,50629,18309,6293,26027,,,
05010,Frontera,13075,11552,1523,13075,108,44,41,23,,,,60960,55424,5536,60960,483,2686,57791,,,
05011,General Cepeda,2442,2175,267,2442,1731,113,84,1399,135,,,11777,10869,908,11777,8556,3221,,,,
05012,Guerrero,603,514,89,603,603,151,34,158,260,,,2317,2061,256,2317,2317,,,,,
05013,Hidalgo,290,254,36,290,290,50,,67,173,,,1220,1116,104,1220,1220,,,,,
05014,Jiménez,1771,1546,225,1771,1771,126,28,885,186,,546,7995,7216,779,7995,7995,,,,,
05015,Juárez,384,343,41,384,384,90,23,101,170,,,1668,1535,133,1668,1668,,,,,
05016,Lamadrid,470,415,55,470,470,12,,,,458,,2006,1840,166,2006,2006,,,,,
05017,Matamoros,16531,14464,2067,16531,5983,283,85,1116,1712,2787,,85906,76917,8989,85906,30842,16202,38862,,,
05018,Monclova,38609,34115,4494,38609,203,141,16,46,,,,176623,160723,15900,176623,814,,,175809,,
05019,Morelos,1528,1334,194,1528,240,74,,,166,,,6605,5966,639,6605,1107,5498,,,,
05020,Múzquiz,13848,11994,1854,13848,1144,300,53,303,135,353,,64776,57981,6795,64776,5151,14388,45237,,,
05021,Nadadores,1185,1070,115,1185,304,38,29,237,,,,5474,5098,376,5474,1384,4090,,,,
05022,Nava,3488,3220,268,3488,656,153,29,163,,311,,16499,15521,978,16499,2955,13544,,,,
05023,Ocampo,1743,1565,178,1743,1205,297,123,659,126,,,7797,7139,658,7797,5261,2536,,,,
05024,Parras,7738,6795,943,7738,2479,243,210,1700,326,,,38933,35313,3620,38933,13258,,25675,,,
05025,Piedras Negras,21754,18063,3691,21754,380,111,,144,125,,,96564,83401,13163,96564,1606,,94958,,,
05026,Progreso,943,850,93,943,943,64,44,204,348,283,,4013,3733,280,4013,4013,,,,,
05027,Ramos Arizpe,5863,5245,618,5863,2389,476,278,1176,163,296,,27982,25611,2371,27982,11431,,16551,,,
05028,Sabinas,10515,9030,1485,10515,218,114,16,88,,,,46477,41685,4792,46477,904,3549,42024,,,
05029,Sacramento,454,410,44,454,454,27,,,,427,,1981,1832,149,1981,1981,,,,,
05030,Saltillo,90322,77552,12770,90322,3741,392,409,2088,631,221,,435849,387235,48614,435849,19861,,,415988,,
05031,San Buenaventura,4510,3976,534,4510,638,180,45,276,137,,,19955,18237,1718,19955,2691,,17264,,,
05032,San Juan de Sabinas,9220,7780,1440,9220,854,101,31,314,97,311,,39413,34783,4630,39413,3830,,35583,,,
05033,San Pedro,18938,16631,2307,18938,9380,208,141,1642,2995,3945,449,98012,88576,9436,98012,48324,10022,39666,,,
05034,Sierra Mojada,2028,1888,140,2028,1117,165,16,181,109,646,,9502,9012,490,9502,5072,4430,,,,
05035,Torreón,94742,78586,16156,94742,3148,154,34,540,901,1096,423,454702,391260,63442,454702,16556,8488,,429658,,
05036,Viesca,3891,3483,408,3891,3249,136,192,1050,870,657,344,21067,19347,1720,21067,17692,3375,,,,
05037,Villa Unión,1356,1158,198,1356,327,95,47,185,,,,5810,5208,602,5810,1362,4448,,,,
05038,Zaragoza,2498,2136,362,2498,536,190,,346,,,,10689,9617,1072,10689,2186,8503,,,,
05996,No especificado,,,,,,,,,,,,,,,,,,,,,
05997,Otros estados,,,,,,,,,,,,,,,,,,,,,
05998,Otros municipios,,,,,,,,,,,,,,,,,,,,,
06,Colima,88292,72333,15959,88292,14587,1244,454,4462,2819,4074,1534,410333,349713,60620,410333,69134,67900,170751,102548,,
06001,Armería,5532,4558,974,5532,896,79,,65,365,387,,26673,22754,3919,26673,4052,8238,14383,,,
06002,Colima,25065,19678,5387,25065,1999,148,65,799,240,235,512,111936,92484,19452,111936,9388,,,102548,,
06003,Comala,3400,2811,589,3400,1297,91,46,508,152,500,,16573,14390,2183,16573,6524,10049,,,,
06004,Coquimatlán,3252,2736,516,3252,1343,92,16,442,243,,550,15662,13640,2022,15662,6262,9400,,,,
06005,Cuauhtémoc,4924,4155,769,4924,1503,37,42,187,651,586,,23104,20431,2673,23104,6847,16257,,,,
06006,Ixtlahuacán,1085,908,177,1085,1085,101,84,428,,,472,5124,4497,627,5124,5124,,,,,
06007,Manzanillo,19709,16349,3360,19709,3532,156,70,1051,1065,1190,,89407,76447,12960,89407,16773,7821,64813,,,
06008,Minatitlán,1615,1460,155,1615,838,70,50,325,103,290,,7930,7383,547,7930,4257,3673,,,,
06009,Tecomán,15872,13257,2615,15872,1689,385,29,389,,886,,77372,66611,10761,77372,7970,12462,56940,,,
06010,Villa de Álvarez,7838,6421,1417,7838,405,85,52,268,,,,36552,31076,5476,36552,1937,,34615,,,
06996,No especificado,,,,,,,,,,,,,,,,,,,,,
06997,Otros estados,,,,,,,,,,,,,,,,,,,,,
