Área Geográfica,,Estadística de defunciones generales,,,,,,,,,,,,,,,,,,,,,,,
,,Defunciones por homicidio,,,,,,,,,,,,,,,,,,,,,,,
,,Defunciones por homicidio,,,,,,,,,,,,,,,,,,,,,,,
,,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
,,Ent y mun ocurre lesión,Ent y mun ocurre lesión,Ent y mun ocurre lesión,Ent y mun ocurre lesión,Ent y mun ocurre lesión,Ent y mun ocurre lesión,Ent y mun ocurre lesión,Ent y mun ocurre lesión,Ent y mun ocurre lesión,Ent y mun ocurre lesión,Ent y mun ocurre lesión,Ent y mun ocurre lesión,Ent y mun ocurre lesión,Ent y mun ocurre lesión,Ent y mun ocurre lesión,Ent y mun ocurre lesión,Ent y mun ocurre lesión,Ent y mun ocurre lesión,Ent y mun ocurre lesión,Ent y mun ocurre lesión,Ent y mun ocurre lesión,Ent y mun ocurre lesión,Ent y mun ocurre lesión,Ent y mun ocurre lesión
Clave,Nombre,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total
01,Aguascalientes,46,56,107,84,68,62,45,26,26,20,27,27,25,21,22,39,25,28,38,30,34,36,47,45
01001,Aguascalientes,27,42,75,67,47,47,36,19,16,14,13,23,17,13,15,24,19,22,30,24,23,23,34,33
01002,Asientos,4,1,1,,1,3,,2,3,,1,,3,2,2,1,,,2,1,3,5,4,1
01003,Calvillo,1,1,1,2,,,,,2,1,1,,2,1,1,,,,2,,,3,2,6
01004,Cosío,1,1,,2,1,,1,,,,1,1,,,,,2,1,,,,,,
01005,Jesús María,6,3,6,2,10,4,1,3,4,1,,,,1,,2,3,1,,1,2,2,1,2
01006,Pabellón de Arteaga,1,1,3,3,2,3,1,1,,1,4,1,,1,1,4,,1,1,1,,1,2,1
01007,Rincón de Romos,2,1,2,2,4,3,4,,,1,2,1,2,1,2,4,1,1,1,1,2,2,2,1
01008,San José de Gracia,,,,1,,,,,1,1,,,,,,,,,,,,,,1
01009,Tepezalá,,,1,1,,1,1,,,,,,,1,,2,,,1,1,,,1,
01010,El Llano,1,1,3,2,1,,,1,,,2,1,1,1,,2,,1,,,2,,,
01011,San Francisco de los Romo,2,2,1,2,2,1,1,,,1,1,,,,,,,,1,1,2,,,
01996,No especificado,1,3,14,,,,,,,,2,,,,1,,,1,,,,,1,
01997,Otros estados,,,,,,,,,,,,,,,,,,,,,,,,
02,Baja California,752,568,812,1503,1498,1004,351,434,410,442,419,403,386,411,595,547,318,360,369,320,265,288,280,249
02001,Ensenada,61,68,60,65,86,72,54,55,39,51,35,38,36,51,76,73,43,49,61,55,26,55,35,37
02002,Mexicali,129,137,160,125,208,109,56,76,103,101,102,101,123,97,153,139,75,97,94,87,68,89,74,85
02003,Tecate,24,19,26,37,78,38,17,14,9,13,11,11,23,19,15,17,12,9,19,17,10,4,7,10
02004,Tijuana,505,314,503,1243,1083,726,206,271,244,272,255,241,199,234,341,308,182,195,194,161,161,140,163,116
02005,Playas de Rosarito,30,27,51,33,43,59,18,18,15,5,16,12,5,10,10,10,6,7,,,,,,
02996,No especificado,3,3,12,,,,,,,,,,,,,,,3,1,,,,1,1
02997,Otros estados,,,,,,,,,,,,,,,,,,,,,,,,
03,Baja California Sur,49,40,61,57,35,36,35,26,33,32,24,35,21,30,34,17,35,26,34,26,21,19,16,11
03001,Comondú,3,3,5,7,5,2,7,1,2,2,2,5,3,6,6,1,4,4,5,2,4,7,6,2
03002,Mulegé,8,5,4,6,3,2,3,4,3,4,3,3,4,2,4,1,6,4,4,2,1,,2,1
