censo1990,agricola1991
"CUATRO CIENEGAS, COAHUILA","CUATROCIENEGAS, COAHUILA"
"COYAME DEL SOTOL, CHIHUAHUA","COYAME, CHIHUAHUA"
"DR. BELISARIO DOMINGUEZ, CHIHUAHUA","DOCTOR BELISARIO DOMINGUEZ, CHIHUAHUA"
"SANTA ISABEL, CHIHUAHUA","GENERAL TRIAS, CHIHUAHUA"
"TEMOSACHIC, CHIHUAHUA","TEMOSACHI, CHIHUAHUA"
"SAN MIGUEL DE ALLENDE, GUANAJUATO","ALLENDE, GUANAJUATO"
"DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL, GUANAJUATO","DOLORES HIDALGO, GUANAJUATO"
"ZIHUATANEJO DE AZUETA, GUERRERO","JOSE AZUETA, GUERRERO"
"LA UNION DE ISIDORO MONTES DE OCA, GUERRERO","LA UNION, GUERRERO"
"SAN JUANITO DE ESCOBEDO, JALISCO","ANTONIO ESCOBEDO, JALISCO"
"EL ARENAL, JALISCO","ARENAL, JALISCO"
"ZAPOTLAN EL GRANDE, JALISCO","CIUDAD GUZMAN, JALISCO"
"CUAUTITLAN DE GARCIA BARRAGAN, JALISCO","CUAUTITLAN, JALISCO"
"SANTA MARIA DEL ORO, JALISCO","MANUEL M. DIEGUEZ, JALISCO"
"SAN GABRIEL, JALISCO","CIUDAD VENUSTIANO CARRANZA, JALISCO"
"COACALCO DE BERRIOZABAL, MEXICO","COACALCO, MEXICO"
"ECATEPEC DE MORELOS, MEXICO","ECATEPEC, MEXICO"
"XALATLACO, MEXICO","JALATLACO, MEXICO"
"MEXICALTZINGO, MEXICO","MEXICALCINGO, MEXICO"
"NAUCALPAN DE JUAREZ, MEXICO","NAUCALPAN, MEXICO"
"TLALNEPANTLA DE BAZ, MEXICO","TLALNEPANTLA, MEXICO"
"TINGUINDIN, MICHOACAN","TINGUINDIN, MICHOACAN"
"DEL NAYAR, NAYARIT","EL NAYAR, NAYARIT"
"DR. ARROYO, NUEVO LEON","DOCTOR ARROYO, NUEVO LEON"
"DR. COSS, NUEVO LEON","DOCTOR COSS, NUEVO LEON"
"DR. GONZALEZ, NUEVO LEON","DOCTOR GONZALEZ, NUEVO LEON"
"GRAL. BRAVO, NUEVO LEON","GENERAL BRAVO, NUEVO LEON"
"GRAL. ESCOBEDO, NUEVO LEON","GENERAL ESCOBEDO, NUEVO LEON"
"GRAL. TERAN, NUEVO LEON","GENERAL TERAN, NUEVO LEON"
"GRAL. TREVINO, NUEVO LEON","GENERAL TREVINO, NUEVO LEON"
"GRAL. ZARAGOZA, NUEVO LEON","GENERAL ZARAGOZA, NUEVO LEON"
"GRAL. ZUAZUA, NUEVO LEON","GENERAL ZUAZUA, NUEVO LEON"
"CIENEGA DE ZIMATLAN, OAXACA","CIENEGA DE ZIMATLAN (LA CIENEGA), OAXACA"
"CHIQUIHUITLAN DE BENITO JUAREZ, OAXACA","SAN JUAN CHIQUIHUITLAN, OAXACA"
"HEROICA CIUDAD DE EJUTLA DE CRESPO, OAXACA","EJUTLA DE CRESPO, OAXACA"
"GUADALUPE DE RAMIREZ, OAXACA","GUADALUPE RAMIREZ, OAXACA"
"HEROICA CIUDAD DE HUAJUAPAN DE LEON, OAXACA","HUAJUAPAM DE LEON, OAXACA"
"HEROICA CIUDAD DE JUCHITAN DE ZARAGOZA, OAXACA","JUCHITAN DE ZARAGOZA, OAXACA"
"MATIAS ROMERO AVENDANO, OAXACA","MATIAS ROMERO, OAXACA"
"SAN JUAN MIXTEPEC -DTO. 08 -, OAXACA","SAN JUAN MIXTEPEC - DISTR. 08 -, OAXACA"
"SAN JUAN MIXTEPEC -DTO. 26 -, OAXACA","SAN JUAN MIXTEPEC - DISTR. 26 -, OAXACA"
"SAN JUAN YAEE, OAXACA","SAN JUAN YAE, OAXACA"
"SAN MIGUEL SOYALTEPEC, OAXACA","NUEVO SOYALTEPEC, OAXACA"
"VILLA TALEA DE CASTRO, OAXACA","SAN MIGUEL TALEA DE CASTRO, OAXACA"
