"POLICÍAS OPERATIVOS POR CADA 100 MIL Y POR CADA MIL HABITANTES A NIVEL MUNICIPAL, 2010",,,,,LEER NOTA
Clave,Estado,Municipio,Personal de seguridad pública total                (incluye policías y personal administrativo),Policías operativos por cada 100 mil habitantes (excluye personal administrativo),Policías operativos por cada mil habitantes (excluye personal administrativo)
01001,Aguascalientes,Aguascalientes,"2,070",230.0,2.3
01002,Aguascalientes,Asientos,60,129.7,1.3
01003,Aguascalientes,Calvillo,117,206.9,2.1
01004,Aguascalientes,Cosío,38,246.0,2.5
01005,Aguascalientes,Jesús María,185,148.6,1.5
01006,Aguascalientes,Pabellón de Arteaga,47,109.9,1.1
01007,Aguascalientes,Rincón de Romos,97,197.3,2.0
01008,Aguascalientes,San José de Gracia,n. d.,n. d.,n. d.
01009,Aguascalientes,Tepezalá,44,198.3,2.0
01010,Aguascalientes,El Llano,33,170.0,1.7
01011,Aguascalientes,San Francisco de los Romo,68,178.9,1.8
02001,Baja California,Ensenada,803,161.3,1.6
02002,Baja California,Mexicali,"2,398",211.6,2.1
02003,Baja California,Tecate,333,301.7,3.0
02004,Baja California,Tijuana,"2,608",136.8,1.4
02005,Baja California,Playas de Rosarito,345,334.2,3.3
03001,Baja California Sur,Comondú,n. d.,n. d.,n. d.
03002,Baja California Sur,Mulegé,257,411.1,4.1
03003,Baja California Sur,La Paz,942,374.0,3.7
03008,Baja California Sur,Los Cabos,718,260.8,2.6
03009,Baja California Sur,Loreto,n. d.,n. d.,n. d.
04001,Campeche,Calkiní,83,149.4,1.5
04002,Campeche,Campeche,3,0.0,0.0
04003,Campeche,Carmen,249,105.8,1.1
04004,Campeche,Champotón,105,126.5,1.3
04005,Campeche,Hecelchakán,82,279.1,2.8
04006,Campeche,Hopelchén,71,185.3,1.9
04007,Campeche,Palizada,42,502.9,5.0
04008,Campeche,Tenabo,55,564.9,5.6
04009,Campeche,Escárcega,96,156.9,1.6
04010,Campeche,Calakmul,52,182.3,1.8
04011,Campeche,Candelaria,59,138.4,1.4
05001,Coahuila,Abasolo,17,"1,401.9",14.0
05002,Coahuila,Acuña,185,126.5,1.3
05003,Coahuila,Allende,42,180.8,1.8
