Área Geográfica,,XI Censo general de población y vivienda 1990,,,,,,,,,,,,,,,
,,Población Total,,,,,,,,,,,,,,,
,,Población total con estimación (Personas),,,,,,,,,,,,,,,
,,Tamaño localidad 15 tam,,,,,,,,,,,,,Sexo,,
Clave,Nombre,Total,"Menos de 2,500 habitantes",1 a 49  habitantes,50 a 99  habitantes,100 a 499 habitantes,500 a 999 habitantes,"1,000 a 1,999 habitantes","2,000 a 2,499 habitantes","2,500 a 14,999 habitantes","15,000 a 99,999 habitantes","100,000 a 999,999 habitantes","1,000,000 y más habitantes",No aplica para viviendas colectivas,Total,Hombres,Mujeres
01,Aguascalientes,719659,168962,12939,7016,45112,52783,38487,12625,58319,51953,440425,,,719659,350218,369441
01001,Aguascalientes,506274,52170,6540,3776,17033,14888,5799,4134,13679,,440425,,,506274,245197,261077
01002,Asientos,32225,25796,441,321,6984,13171,2744,2135,6429,,,,,32225,16094,16131
01003,Calvillo,48440,26323,1027,871,6035,7280,11110,,5493,16624,,,,48440,23647,24793
01004,Cosío,10247,7050,201,,925,4418,1506,,3197,,,,,10247,5046,5201
01005,Jesús María,41092,21152,1341,987,5247,3923,9654,,19940,,,,,41092,20161,20931
01006,Pabellón de Arteaga,26051,7687,1308,391,1223,1465,1155,2145,,18364,,,,26051,12730,13321
01007,Rincón de Romos,33781,13672,1374,357,2922,5084,1806,2129,3144,16965,,,,33781,16714,17067
01008,San José de Gracia,6740,3401,231,205,1097,858,1010,,3339,,,,,6740,3301,3439
01009,Tepezalá,14809,11711,476,108,3646,1696,3703,2082,3098,,,,,14809,7328,7481
01010,El Llano,,,,,,,,,,,,,,,,
01011,San Francisco de los Romo,,,,,,,,,,,,,,,,
01996,No especificado,,,,,,,,,,,,,,,,
01997,Otros estados,,,,,,,,,,,,,,,,
02,Baja California,1660855,151061,11936,5125,43986,36858,51100,2056,139932,63307,1306555,,,1660855,832090,828765
02001,Ensenada,259979,46006,6110,2419,13444,11230,12803,,44547,,169426,,,259979,130462,129517
02002,Mexicali,601938,85425,2157,1956,23391,25036,32885,,78136,,438377,,,601938,300629,301309
02003,Tecate,51557,11317,2707,365,2833,,5412,,,40240,,,,51557,26367,25190
02004,Tijuana,747381,8313,962,385,4318,592,,2056,17249,23067,698752,,,747381,374632,372749
02005,Playas de Rosarito,,,,,,,,,,,,,,,,
02996,No especificado,,,,,,,,,,,,,,,,
02997,Otros estados,,,,,,,,,,,,,,,,
03,Baja California Sur,317764,69099,17455,4644,16088,14888,9215,6809,60273,50751,137641,,,317764,161833,155931
03001,Comondú,74346,20829,6443,1050,4995,3769,2183,2389,18825,34692,,,,74346,37643,36703
03002,Mulegé,38528,15356,2447,1061,3419,4957,1133,2339,23172,,,,,38528,19786,18742
03003,La Paz,160970,19945,6181,1704,4376,1958,3645,2081,3384,,137641,,,160970,81299,79671
03008,Los Cabos,43920,12969,2384,829,3298,4204,2254,,14892,16059,,,,43920,23105,20815
03009,Loreto,,,,,,,,,,,,,,,,
03996,No especificado,,,,,,,,,,,,,,,,
03997,Otros estados,,,,,,,,,,,,,,,,
