"","muncode","name","total.pop"
"1",1001,"AGUASCALIENTES, AGUASCALIENTES",795210
"2",1002,"ASIENTOS, AGUASCALIENTES",44984
"3",1003,"CALVILLO, AGUASCALIENTES",53848
"4",1004,"COSIO, AGUASCALIENTES",14882
"5",1005,"JESUS MARIA, AGUASCALIENTES",98954
"6",1006,"PABELLON DE ARTEAGA, AGUASCALIENTES",41260
"7",1007,"RINCON DE ROMOS, AGUASCALIENTES",48267
"8",1008,"SAN JOSE DE GRACIA, AGUASCALIENTES",8379
"9",1009,"TEPEZALA, AGUASCALIENTES",19441
"10",1010,"EL LLANO, AGUASCALIENTES",18104
"11",1011,"SAN FRANCISCO DE LOS ROMO, AGUASCALIENTES",35472
"12",2001,"ENSENADA, BAJA CALIFORNIA",461892
"13",2002,"MEXICALI, BAJA CALIFORNIA",932551
"14",2003,"TECATE, BAJA CALIFORNIA",99908
"15",2004,"TIJUANA, BAJA CALIFORNIA",1558330
"16",2005,"PLAYAS DE ROSARITO, BAJA CALIFORNIA",90170
"17",3001,"COMONDU, BAJA CALIFORNIA SUR",68702
"18",3002,"MULEGE, BAJA CALIFORNIA SUR",57546
"19",3003,"LA PAZ, BAJA CALIFORNIA SUR",248652
"20",3008,"LOS CABOS, BAJA CALIFORNIA SUR",236448
"21",3009,"LORETO, BAJA CALIFORNIA SUR",16086
"22",4001,"CALKINI, CAMPECHE",52792
"23",4002,"CAMPECHE, CAMPECHE",257551
"24",4003,"CARMEN, CAMPECHE",218087
"25",4004,"CHAMPOTON, CAMPECHE",82404
"26",4005,"HECELCHAKAN, CAMPECHE",28274
"27",4006,"HOPELCHEN, CAMPECHE",37601
"28",4007,"PALIZADA, CAMPECHE",7891
"29",4008,"TENABO, CAMPECHE",9713
"30",4009,"ESCARCEGA, CAMPECHE",53555
"31",4010,"CALAKMUL, CAMPECHE",26560
"32",4011,"CANDELARIA, CAMPECHE",39021
"33",5001,"ABASOLO, COAHUILA",1014
"34",5002,"ACUNA, COAHUILA",136395
"35",5003,"ALLENDE, COAHUILA",22525
"36",5004,"ARTEAGA, COAHUILA",21399
"37",5005,"CANDELA, COAHUILA",1777
"38",5006,"CASTANOS, COAHUILA",25700
"39",5007,"CUATRO CIENEGAS, COAHUILA",12841
"40",5008,"ESCOBEDO, COAHUILA",2866
"41",5009,"FRANCISCO I. MADERO, COAHUILA",55400
"42",5010,"FRONTERA, COAHUILA",75127
"43",5011,"GENERAL CEPEDA, COAHUILA",11442
"44",5012,"GUERRERO, COAHUILA",1806
"45",5013,"HIDALGO, COAHUILA",1695
"46",5014,"JIMENEZ, COAHUILA",9680
"47",5015,"JUAREZ, COAHUILA",1480
"48",5016,"LAMADRID, COAHUILA",1801
"49",5017,"MATAMOROS, COAHUILA",106786
"50",5018,"MONCLOVA, COAHUILA",215889
"51",5019,"MORELOS, COAHUILA",8033
"52",5020,"MUZQUIZ, COAHUILA",66448
"53",5021,"NADADORES, COAHUILA",6251
"54",5022,"NAVA, COAHUILA",27679
"55",5023,"OCAMPO, COAHUILA",10657
"56",5024,"PARRAS, COAHUILA",45046
"57",5025,"PIEDRAS NEGRAS, COAHUILA",151878
"58",5026,"PROGRESO, COAHUILA",3394
"59",5027,"RAMOS ARIZPE, COAHUILA",74987
"60",5028,"SABINAS, COAHUILA",60578
"61",5029,"SACRAMENTO, COAHUILA",2297
"62",5030,"SALTILLO, COAHUILA",724608
"63",5031,"SAN BUENAVENTURA, COAHUILA",22030
"64",5032,"SAN JUAN DE SABINAS, COAHUILA",41479
"65",5033,"SAN PEDRO, COAHUILA",101925
"66",5034,"SIERRA MOJADA, COAHUILA",6244
"67",5035,"TORREON, COAHUILA",639505
"68",5036,"VIESCA, COAHUILA",21143
"69",5037,"VILLA UNION, COAHUILA",6084
"70",5038,"ZARAGOZA, COAHUILA",12300
"71",6001,"ARMERIA, COLIMA",28442
"72",6002,"COLIMA, COLIMA",146342
"73",6003,"COMALA, COLIMA",20653
"74",6004,"COQUIMATLAN, COLIMA",19183
"75",6005,"CUAUHTEMOC, COLIMA",26910
"76",6006,"IXTLAHUACAN, COLIMA",5204
"77",6007,"MANZANILLO, COLIMA",160445
"78",6008,"MINATITLAN, COLIMA",8127
"79",6009,"TECOMAN, COLIMA",111302
"80",6010,"VILLA DE ALVAREZ, COLIMA",119727
"81",7001,"ACACOYAGUA, CHIAPAS",16525
"82",7002,"ACALA, CHIAPAS",28523
"83",7003,"ACAPETAHUA, CHIAPAS",27073
"84",7004,"ALTAMIRANO, CHIAPAS",27317
"85",7005,"AMATAN, CHIAPAS",21125
"86",7006,"AMATENANGO DE LA FRONTERA, CHIAPAS",29479
"87",7007,"AMATENANGO DEL VALLE, CHIAPAS",8681
"88",7008,"ANGEL ALBINO CORZO, CHIAPAS",26379
"89",7009,"ARRIAGA, CHIAPAS",39128
"90",7010,"BEJUCAL DE OCAMPO, CHIAPAS",7602
"91",7011,"BELLA VISTA, CHIAPAS",19212
"92",7012,"BERRIOZABAL, CHIAPAS",41925
"93",7013,"BOCHIL, CHIAPAS",30616
"94",7014,"EL BOSQUE, CHIAPAS",18534
"95",7015,"CACAHOATAN, CHIAPAS",43659
"96",7016,"CATAZAJA, CHIAPAS",16605
"97",7017,"CINTALAPA, CHIAPAS",73468
"98",7018,"COAPILLA, CHIAPAS",8388
"99",7019,"COMITAN DE DOMINGUEZ, CHIAPAS",140567
"100",7020,"LA CONCORDIA, CHIAPAS",42280
"101",7021,"COPAINALA, CHIAPAS",20651
"102",7022,"CHALCHIHUITAN, CHIAPAS",14027
"103",7023,"CHAMULA, CHIAPAS",76941
"104",7024,"CHANAL, CHIAPAS",10817
"105",7025,"CHAPULTENANGO, CHIAPAS",7293
"106",7026,"CHENALHO, CHIAPAS",36037
"107",7027,"CHIAPA DE CORZO, CHIAPAS",86782
"108",7028,"CHIAPILLA, CHIAPAS",5394
"109",7029,"CHICOASEN, CHIAPAS",5005
"110",7030,"CHICOMUSELO, CHIAPAS",31108
"111",7031,"CHILON, CHIAPAS",110957
"112",7032,"ESCUINTLA, CHIAPAS",29682
"113",7033,"FRANCISCO LEON, CHIAPAS",6984
"114",7034,"FRONTERA COMALAPA, CHIAPAS",66560
"115",7035,"FRONTERA HIDALGO, CHIAPAS",12665
"116",7036,"LA GRANDEZA, CHIAPAS",7266
"117",7037,"HUEHUETAN, CHIAPAS",33330
"118",7038,"HUIXTAN, CHIAPAS",21381
"119",7039,"HUITIUPAN, CHIAPAS",22303
"120",7040,"HUIXTLA, CHIAPAS",50871
"121",7041,"LA INDEPENDENCIA, CHIAPAS",41184
"122",7042,"IXHUATAN, CHIAPAS",10147
"123",7043,"IXTACOMITAN, CHIAPAS",10048
"124",7044,"IXTAPA, CHIAPAS",24419
"125",7045,"IXTAPANGAJOYA, CHIAPAS",5458
"126",7046,"JIQUIPILAS, CHIAPAS",36413
"127",7047,"JITOTOL, CHIAPAS",18676
"128",7048,"JUAREZ, CHIAPAS",21075
"129",7049,"LARRAINZAR, CHIAPAS",19585
"130",7050,"LA LIBERTAD, CHIAPAS",4826
